"Context","Source/Translation"
"CODE","es"
"NAME","Español"
"TMCE_NAM","Administrador de transferencias"
"tabTransferManager","Administrador de transferencias"
"tabGeneral","General"
"tabWarehouses","Almacenes"
"tabServices","Servicios"
"DEBUGPROFILE","Administrador de transferencia personalizado"
"optionEnableNewTransferManager","Habilitar el administrador de transferencia personalizado"
"GROUP_SERVICE_OPTIONS","Opciones de servicio"
"optionPreferLocalService","Preferir dentro de los servicios del distrito"
"optionPreferLocalService_txt","Mejore aún más la localidad de los servicios haciendo coincidir las solicitudes de baja prioridad solo con edificios de servicios dentro del mismo distrito (o fuera de cualquier distrito). Una vez que una solicitud insatisfecha se convierte en alta prioridad, será atendida por cualquier oferta de servicio cercana. Afecta: basura, policía, sanidad, mantenimiento, correo, taxi."
"GROUP_WAREHOUSE_OPTIONS","Opciones de entrega de mercancías"
"optionWarehouseFirst","Almacén primero"
"optionWarehouseFirst_txt","Prefiere realizar todas las entregas de mercancías (entrantes y salientes) a través de almacenes, si están disponibles. Aumentará el tráfico del almacén, por lo que es mejor que sus almacenes estén bien ubicados estratégicamente."
"optionWarehouseReserveTrucks","Almacén de reserva de camiones de carga para traslados locales"
"optionWarehouseReserveTrucks_txt","Se recomienda habilitar con Warehouse First: reserva un porcentaje de la capacidad de los camiones del almacén para satisfacer la demanda de la ciudad, evita que todos los camiones se utilicen para la exportación."
"GROUP_EXPORTIMPORT_OPTIONS","Opciones de exportación/importación"
"GROUP_EXPERIMENTAL_DEATHCARE","Cuidado de la muerte/Basura"
"optionDeathcareExperimental","Transferencias mejoradas de atención de la muerte"
"optionGarbageExperimental","Transferencias de basura mejoradas"
"optionPoliceExperimental","Transferencias Policiales Mejoradas"
"txtDeathcareExperimental","De manera predeterminada los Cementerios, Basureros y Estaciones de Policía envían una oferta de transferencia para un vehículo a la vez. Esta opción cambia la oferta para que sea el número de vehículos disponibles, lo que puede resultar en una mejor capacidad de respuesta."
"GROUP_TRANSFERISSUE_PANEL","Panel de problemas de transferencia"
"keyOpenTransferIssuePanel","Abrir panel de problemas de transferencia"
"optionShowIssuesWithVehiclesOnRoute","Mostrar problemas con vehículos en ruta"
"sliderTransferIssueDeleteResolvedDelay","Eliminar retraso resuelto"
"GROUP_STATISTICS_PANEL","Panel de estadísticas"
"keyOpenStatisticsPanel","Abrir panel de estadísticas"
"StatisticsPanelEnabled","Habilitar estadísticas"
"btnResetPathingStatistics","Restablecer Ruta"
"buttonResetTransferStatistics","Restablecer estadísticas de transferencia"
"tabBuildingPanelSettings","Ajustes"
