"Context","Source/Translation"
"CODE","pt-BR"
"NAME","Português"
"TMCE_NAM","Gerente de transferência"
"tabTransferManager","Gerente de transferência"
"tabGeneral","Geral"
"tabWarehouses","Armazéns"
"tabServices","Serviços"
"DEBUGPROFILE","Gerenciador de transferências personalizadas"
"optionEnableNewTransferManager","Ativar o Gerenciador de transferência personalizado"
"GROUP_SERVICE_OPTIONS","Opções de Serviço"
"optionPreferLocalService","Preferir serviços no distrito local"
"optionPreferLocalService_txt","Melhora ainda mais os serviços locais, conectando requisições de prioridade baixa somente com serviços dentro do mesmo distrito (ou fora de qualquer distrito). Se uma requisição se tornar de alta prioridade, ela será atendida por qualquer serviço, independente do distrito que está. Afeta: lixo, polícia, saúde, manutenção, email e taxi."
"GROUP_WAREHOUSE_OPTIONS","Opções de Entrega de Produtos"
"optionWarehouseFirst","Armazém Primeiro"
"optionWarehouseFirst_txt","Se disponível, prefere realizar a entrega de todos os produtos (exportação e importação) através de armazéns. Como esta opção aumenta o trânsito em armazéns, é aconselhável que eles estejam colocados de forma estratégica na cidade."
"optionWarehouseReserveTrucks","Reserva caminhões de armazéns para transferências locais"
"optionWarehouseReserveTrucks_txt","Recomendado para habilitar com Warehouse First: reserve uma % da capacidade do caminhão do armazém para satisfazer a demanda da cidade, evita que todos os caminhões sejam usados ​​para exportação."
"GROUP_EXPORTIMPORT_OPTIONS","Opções de Importação/Exportação"
"GROUP_EXPERIMENTAL_DEATHCARE","Cuidados com a Morte/Lixo"
"optionDeathcareExperimental","Transferências aprimoradas de cuidados com a morte"
"optionGarbageExperimental","Transferências de lixo aprimoradas"
"optionPoliceExperimental","Transferências de polícia aprimoradas"
"txtDeathcareExperimental","Por padrão, Cemitérios, Lixos e Delegacias de Polícia enviam uma oferta de transferência para um veículo por vez. Esta opção altera a oferta para o número de veículos disponíveis, o que pode resultar em uma melhor correspondência."
"GROUP_TRANSFERISSUE_PANEL","Painel de problemas de transferência"
"keyOpenTransferIssuePanel","Abrir o painel de problemas de transferência"
"optionShowIssuesWithVehiclesOnRoute","Mostrar problemas com veículos na rota"
"sliderTransferIssueDeleteResolvedDelay","Excluir atraso resolvido"
"GROUP_STATISTICS_PANEL","Painel de Estatísticas"
"keyOpenStatisticsPanel","Abrir painel de estatísticas"
"StatisticsPanelEnabled","Ativar estatísticas"
"btnResetPathingStatistics","Reset Pathing"
"buttonResetTransferStatistics","Redefinir estatísticas de transferência"
"tabBuildingPanelSettings","Configurações"
"GROUP_BUILDINGPANEL_SERVICES","Opções de Serviço"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","Bordas externas"
"dropdownBuildingPanelImportExport","Importar/Exportar"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","Opções de Entrega de Produtos"
"chkBuildingPanelReserveWarehouseTrucks","Reserva caminhões de armazéns para transferências locais"
"tabBuildingPanelStatus","Situação"
"listBuildingPanelStatusColumn1","Material"
"listBuildingPanelStatusColumn2","Valor"
"listBuildingPanelStatusColumn3","Respondente"
"listBuildingPanelStatusColumn4","Veículo"
"listBuildingPanelStatusColumn5","Cronômetro"
"tabBuildingPanelTransfers","Transferências"
"labelBuildingPanelOffers","Ofertas de transferência"
"labelBuildingPanelMatchOffers","Ofertas de correspondência"
"listBuildingPanelOffersColumn1","Entrada/Saída"
"listBuildingPanelOffersColumn2","Material"
"listBuildingPanelOffersColumn3","Prioridade"
"listBuildingPanelOffersColumn4","Ativo"
"listBuildingPanelOffersColumn5","Quantidade"
"listBuildingPanelOffersColumn6","Descrição"
"listBuildingPanelMatchesColumn1","Tempo"
"listBuildingPanelMatchesColumn2","Material"
"listBuildingPanelMatchesColumn3","Ativo"
"listBuildingPanelMatchesColumn4","Quantidade"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","Descrição"
"titleTransferIssuesPanel","Transferir problema"
"tabTransferIssuesPathing","Caminho"
"listPathingColumn1","Tempo"
"listPathingColumn2","Fonte"
"listPathingColumn3","Destino"
"tabTransferIssuesDead","Morto"
"listDeadColumn1","Morto"
"listDeadColumn2","Cronômetro"
"listDeadColumn3","Fonte"
"listDeadColumn4","Destino"
"listDeadColumn5","Veículo"
"tabTransferIssuesSick","Doente"
"listSickColumn1","Doente"
"listBuildingPanelVehicleTarget","Destino"
