"Context","Source/Translation"
"CODE","en"
"NAME","English"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Transfer Manager"
"tabGeneral","General"
"tabWarehouses","Warehouses"
"tabServices","Services"
"DEBUGPROFILE","Custom Transfer Manager"
"optionEnableNewTransferManager","Enable Custom Transfer Manager"
"GROUP_SERVICE_OPTIONS","Service Options"
"optionPreferLocalService","Prefer local district services"
"optionPreferLocalService_txt","Further improve locality of services by matching low priority requests only with service buildings within the same district (or outside any district). Once an unfulfilled requests becomes high priority, it will be served by any nearby service offer though. Affects: garbage, police, health care, maintenance, mail, taxi."
"GROUP_WAREHOUSE_OPTIONS","Goods Delivery Options"
"optionWarehouseFirst","Warehouse First"
"optionWarehouseFirst_txt","Prefer to conduct all goods delivery (inbound and outbound) through warehouses, if available. Will increase warehouse traffic, so your warehouses better be situated strategically well."
"optionWarehouseReserveTrucks","Reserve warehouse cargo trucks for local transfers"
"optionWarehouseReserveTrucks_txt","Recommended to enable with Warehouse First: reserve a percentage of warehouse truck capacity for satisfying city demand, prevents all trucks being used for export."
"GROUP_EXPORTIMPORT_OPTIONS","Outside Connection Options"
"GROUP_EXPERIMENTAL_DEATHCARE","Death Care/Garbage"
"optionDeathcareExperimental","Improved Death Care Transfers"
"optionGarbageExperimental","Improved Garbage Transfers"
"optionPoliceExperimental","Improved Police Transfers"
"txtDeathcareExperimental","By default Cemeteries, Garbage and Police Stations send out a transfer offer for one vehicle at a time. This option changes the offer to be the number of available vehicles, which can result in improved matching."
"GROUP_TRANSFERISSUE_PANEL","Transfer Issue Panel"
"keyOpenTransferIssuePanel","Open Transfer Issue Panel"
"optionShowIssuesWithVehiclesOnRoute","Show issues with vehicles on route"
"sliderTransferIssueDeleteResolvedDelay","Delete resolved delay"
"GROUP_STATISTICS_PANEL","Statistics Panel"
"keyOpenStatisticsPanel","Open Statistics Panel"
"StatisticsPanelEnabled","Enable Statistics"
"btnResetPathingStatistics","Reset Pathing"
"buttonResetTransferStatistics","Reset Transfer Statistics"
"tabBuildingPanelSettings","Settings"
"GROUP_BUILDINGPANEL_SERVICES","Service Options"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","Outside Connections"
"dropdownBuildingPanelImportExport","Import/Export"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","Goods Delivery Options"
"chkBuildingPanelReserveWarehouseTrucks","Reserve warehouse cargo trucks for local transfers"
"tabBuildingPanelStatus","Status"
"listBuildingPanelStatusColumn1","Material"
"listBuildingPanelStatusColumn2","Value"
"listBuildingPanelStatusColumn3","Responder"
"listBuildingPanelStatusColumn4","Vehicle"
"listBuildingPanelStatusColumn5","Timer"
"tabBuildingPanelTransfers","Transfers"
"labelBuildingPanelOffers","Transfer Offers"
"labelBuildingPanelMatchOffers","Match Offers"
"listBuildingPanelOffersColumn1","In/Out"
"listBuildingPanelOffersColumn2","Material"
"listBuildingPanelOffersColumn3","Priority"
"listBuildingPanelOffersColumn4","Active"
"listBuildingPanelOffersColumn5","Amount"
"listBuildingPanelOffersColumn6","Description"
"listBuildingPanelMatchesColumn1","Time"
"listBuildingPanelMatchesColumn2","Material"
"listBuildingPanelMatchesColumn3","Active"
"listBuildingPanelMatchesColumn4","Amount"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","Description"
"titleTransferIssuesPanel","Transfer Issues"
"tabTransferIssuesPathing","Pathing"
"listPathingColumn1","Time"
"listPathingColumn2","Source"
"listPathingColumn3","Target"
"tabTransferIssuesDead","Dead"
"listDeadColumn1","Dead"
"listDeadColumn2","Timer"
"listDeadColumn3","Source"
"listDeadColumn4","Target"
"listDeadColumn5","Vehicle"
"tabTransferIssuesSick","Sick"
"listSickColumn1","Sick"
"listBuildingPanelVehicleTarget","Target"
"dropdownBuildingPanelPreferLocalLabel","District Restrictions"
"dropdownBuildingPanelPreferLocal1","All Districts"
"dropdownBuildingPanelPreferLocal2","Prefer Within District"
"dropdownBuildingPanelPreferLocal3","Within District Only"
"dropdownBuildingPanelPreferLocal4","All Districts, Except For"
"tabTransferIssuesOutside","Outside"
"GROUP_BUILDING_PANEL","Building Panel"
"keyOpenBuildingPanel","Open Building Panel"
"GROUP_LOCALISATION","Localization"
"dropdownLocalization","Language"
"tabBuildingPanelVehicles","Vehicles"
"txtBuildingPanelTransferManagerWarning","Warning: These settings require the Custom Transfer Manager to be enabled."
"tabTransferIssuesGoods","Goods"
"chkShowIssuesWithVehicles","Show issues with vehicles on route"
"GROUP_BUILDINGPANEL_DISTRICT","District Restrictions"
"dropdownBuildingPanelOutgoingPreferLocalLabel","Outgoing"
"dropdownBuildingPanelIncomingPreferLocalLabel","Incoming"
"chkAllowImport","Allow Import"
"chkAllowExport","Allow Export"
"GROUP_BUILDINGPANEL_APPLYTOALL","Apply To All Buildings of Same Type"
"tabExperimental","Experimental"
"chkDistrictAllowServices","Allow Services (Garbage, Fire, Police...)"
"GROUP_DISTANCE_LIMITS","Distance Limits"
"tabDistanceRestrictions","Distance"
"sliderDeathcareDistanceLimits","Deathcare distance limit (km)"
"sliderHealthcareDistanceLimits","Healthcare distance limit (km)"
"sliderGarbageDistanceLimits","Garbage distance limit (km)"
"sliderPoliceDistanceLimits","Police distance limit (km)"
"sliderFireDistanceLimits","Fire distance limit (km)"
"sliderMailDistanceLimits","Mail distance limit (km)"
"txtDistanceLimits","Maximum allowed matching distance, 0 = Unlimited. Imports/Exports are not affected."
"tabVehicleAI","Vehicle AI"
"GROUP_VEHICLE_AI","Enable/Disable Vehicle AI"
"optionFireTruckAI","Fire Truck"
"optionFireCopterAI","Fire Copter"
"optionGarbageTruckAI","Garbage Truck"
"optionPoliceCarAI","Police Car"
"optionPoliceCopterAI","Police Copter"
"txtVehicleAIDescription","VehicleAI enhances vehicles to look for close by issues to resolve."
"tabImportExport","Import/Export"
