"Context","Source/Translation"
"CODE","pl"
"NAME","Polski"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Transfer Manager"
"tabGeneral","Ogólne"
"tabWarehouses","Magazyny"
"tabServices","Usługi"
"DEBUGPROFILE","Własne ustawienia Transfer Manager"
"optionEnableNewTransferManager","Włącz własne ustawienia Transfer Manager"
"GROUP_SERVICE_OPTIONS","Opcje usługi"
"optionPreferLocalService","Preferuj usługi lokalne"
"optionPreferLocalService_txt","Poprawa usług lokalnych poprzez dopasowywanie żądań o niskim priorytecie tylko do budynków usługowych w tej samej dzielnicy (lub w jakichkolwiek dzielnicach). Gdy niespełnione żądania osiągną wysoki priorytet, zostaną one obsłużone przez pobliskie usługi. Dotyczy to: śmieci, policji, opieki zdrowotnej, czyszczenia miasta, poczty, taxi."
"GROUP_WAREHOUSE_OPTIONS","Opcje dostawy towaru"
"optionWarehouseFirst","Najpierw magazyn"
"optionWarehouseFirst_txt","Preferuj, aby dostarczane towary (przychodzące i wychodzące) przechodziły przez magazyny, jeśli są dostępne. Spowoduje to większy ruch w twoich magazynach, więc będą one w lepszych miejscach pod względem strategicznym."
"optionWarehouseReserveTrucks","Zarezerwuj ciężarówki z magazynu dla transportu lokalnego"
"optionWarehouseReserveTrucks_txt","Zalecane do włączenia z Najpierw magazyn: zarezerwowanie procentowego udziału ciężarówek w magazynie do zaspokojenia potrzeb miasta, blokuje to używanie wszystkich ciężarówek do eksportu."
"GROUP_EXPORTIMPORT_OPTIONS","Opcje połączeń zewnętrznych"
"GROUP_EXPERIMENTAL_DEATHCARE","Usługi pogrzebowe/Śmieci"
"optionDeathcareExperimental","Ulepszony transport usług pogrzebowych"
"optionGarbageExperimental","Ulepszony transport śmieci"
"optionPoliceExperimental","Ulepszony transport policji"
"txtDeathcareExperimental","Cmentarze, wysypiska i posterunki policyjne wysyłają jeden pojazd na raz. Ta opcja zmienia zasób jako liczbę dostępnych pojazdów, co może skutkować lepszym dopasowywaniem usług."
"GROUP_TRANSFERISSUE_PANEL","Panel z błędami w transporcie"
"keyOpenTransferIssuePanel","Otwórz panel z błędami transportu"
"optionShowIssuesWithVehiclesOnRoute","Pokaż problemy z pojazdami w trasie"
"sliderTransferIssueDeleteResolvedDelay","Usuń rozwiązane opóźnienie"
"GROUP_STATISTICS_PANEL","Panel Statystyk"
"keyOpenStatisticsPanel","Otwórz Panel Statystyk"
"StatisticsPanelEnabled","Włącz Statystyki"
"btnResetPathingStatistics","Reset Pathing"
