"Context","Source/Translation"
"CODE","de"
"NAME","Français"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Transfer Manager"
"tabGeneral","Général"
"tabWarehouses","Entrepôts"
"tabServices","Services"
"DEBUGPROFILE","Transfer Manager Personnalisé"
"optionEnableNewTransferManager","Activer Transfer Manager Personnalisé"
"GROUP_SERVICE_OPTIONS","Options des services"
"optionPreferLocalService","Préférer les services du quartier"
"optionPreferLocalService_txt","Améliore les services en traitant les demandes de faible priorité uniquement avec les bâtiments situés dans le même quartier (ou hors quartier). Dès qu'une demande non satisfaite devient une haute priorité, elle sera prise en charge par tout service à proximité. Affecte : les ordures, la police, les services de santé, la maintenance, le courrier, les taxis."
"GROUP_WAREHOUSE_OPTIONS","Options de livraison de marchandise"
"optionWarehouseFirst","L'entrepôt en Premier"
"optionWarehouseFirst_txt","Vous préférez que toutes les livraisons de marchandises (entrantes et sortantes) passent par vos entrepôts, s'ils sont disponibles. Cela augmentera le trafic dans les entrepôts, il est donc préférable qu'ils soient bien positionnés."
"optionWarehouseReserveTrucks","Réserver les camions de marchandises de l'entrepôt pour les transferts locaux"
"optionWarehouseReserveTrucks_txt","Il est conseillé de l'activer avec L'entrepôt en Premier : permet de réserver un pourcentage de la capacité des camions pour satisfaire les demandes de la ville, cela empêche l'utilisation de tous les camions pour l'export."
"GROUP_EXPORTIMPORT_OPTIONS","Connexions extérieures"
"GROUP_EXPERIMENTAL_DEATHCARE","Service mortuaire/ordures"
"optionDeathcareExperimental","Amélioration des transferts des Services mortuaire"
"optionGarbageExperimental","Amélioration du ramassage des ordures"
"optionPoliceExperimental","Amélioration des services de police"
"txtDeathcareExperimental","Par défaut, les cimetières, les éboueurs et les postes de police n'envoient qu'un seul véhicule à la fois. Cette option permet de modifier l'offre en fonction du nombre de véhicules disponibles, ce qui permet d'améliorer leur répartition."
"GROUP_TRANSFERISSUE_PANEL","Aperçu des Problèmes"
"keyOpenTransferIssuePanel","Ouvrir l'Aperçu des Problèmes"
"optionShowIssuesWithVehiclesOnRoute","Afficher les problèmes d'itinéraire des véhicules"
"sliderTransferIssueDeleteResolvedDelay","Attendre la suppression des problèmes résolus"
"GROUP_STATISTICS_PANEL","Panneau des stats"
"keyOpenStatisticsPanel","Ouvrir le Panneau des stats"
"StatisticsPanelEnabled","Activer les statistiques"
"btnResetPathingStatistics","Reset Pathing"
"buttonResetTransferStatistics","Réinitialiser les statistiques de transfert"
"tabBuildingPanelSettings","Paramètres"
"GROUP_BUILDINGPANEL_SERVICES","Options des Services"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","Connexions extérieures"
"dropdownBuildingPanelImportExport","Import / Export"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","Options de livraison de marchandise"
"chkBuildingPanelReserveWarehouseTrucks","Réserver les camions de marchandises de l'entrepôt pour les transferts locaux"
"tabBuildingPanelStatus","Statut"
"listBuildingPanelStatusColumn1","Matériaux"
"listBuildingPanelStatusColumn2","Valeur"
"listBuildingPanelStatusColumn3","Fournisseur"
"listBuildingPanelStatusColumn4","Véhicule"
"listBuildingPanelStatusColumn5","Minuteur"
"tabBuildingPanelTransfers","Transfert"
"labelBuildingPanelOffers","Offres de Transfert"
"labelBuildingPanelMatchOffers","Demandes en cours"
"listBuildingPanelOffersColumn1","Entrée/Sortie"
"listBuildingPanelOffersColumn2","Matériaux"
"listBuildingPanelOffersColumn3","Priorité"
"listBuildingPanelOffersColumn4","Actif"
"listBuildingPanelOffersColumn5","Montant"
"listBuildingPanelOffersColumn6","Description"
"listBuildingPanelMatchesColumn1","Temps"
"listBuildingPanelMatchesColumn2","Matériaux"
"listBuildingPanelMatchesColumn3","Actif"
"listBuildingPanelMatchesColumn4","Montant"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","Description"
"titleTransferIssuesPanel","Problème"
"tabTransferIssuesPathing","En cours"
"listPathingColumn1","Temps"
"listPathingColumn2","Source"
"listPathingColumn3","Objectif"
"tabTransferIssuesDead","Mort"
"listDeadColumn1","Mort"
"listDeadColumn2","Minuteur"
"listDeadColumn3","Source"
"listDeadColumn4","Objectif"
"listDeadColumn5","Véhicule"
"tabTransferIssuesSick","Malade"
"listSickColumn1","Malade"
"listBuildingPanelVehicleTarget","Objectif"
"dropdownBuildingPanelPreferLocalLabel","Restrictions de quartier"
"dropdownBuildingPanelPreferLocal1","Tous les quartiers"
"dropdownBuildingPanelPreferLocal2","Préférer dans le quartier"
"dropdownBuildingPanelPreferLocal3","Seulement dans le quartier"
"dropdownBuildingPanelPreferLocal4","All Districts, Except For"
"tabTransferIssuesOutside","Extérieur"
"GROUP_BUILDING_PANEL","Panneau de construction"
"keyOpenBuildingPanel","Ouvrir le Panneau de construction"
"GROUP_LOCALISATION","Traduction"
"dropdownLocalization","Langue"
"tabBuildingPanelVehicles","Véhicules"
"txtBuildingPanelTransferManagerWarning","Attention : Ces paramètres nécessitent l'activation de Transfer Manager Personnalisé."
"tabTransferIssuesGoods","Goods In"
"tabTransferIssuesGoodsOut","Goods Out"
"chkShowIssuesWithVehicles","Afficher les problèmes d'itinéraire des véhicules"
"GROUP_BUILDINGPANEL_DISTRICT","Restrictions de Quartier"
"dropdownBuildingPanelOutgoingPreferLocalLabel","Sortant"
"dropdownBuildingPanelIncomingPreferLocalLabel","Entrant"
"chkAllowImport","Autoriser les importations"
"chkAllowExport","Autoriser les exportations"
"GROUP_BUILDINGPANEL_APPLYTOALL","Appliquer à tous les bâtiments du même type"
"tabExperimental","Expérimental"
"chkDistrictAllowServices","Autoriser les services (éboueur, pompier, police...)"
"GROUP_DISTANCE_LIMITS","Limite de distance"
"tabDistanceRestrictions","Distance"
"sliderDeathcareDistanceLimits","Limite de distance des services mortuaires (km)"
"sliderHealthcareDistanceLimits","Limite de distance des services de santé(km)"
"sliderGarbageDistanceLimits","Limite de distance des éboueurs (km)"
"sliderPoliceDistanceLimits","Limite de distance de la police (km)"
"sliderFireDistanceLimits","Limite de distance des pompiers (km)"
"sliderMailDistanceLimits","Limite de distance du courrier (km)"
"txtDistanceLimits","Distance de correspondance maximale autorisée, 0 = Illimitée. Les imports/exports ne sont pas affectés."
"tabVehicleAI","Véhicules IA"
"GROUP_VEHICLE_AI","Activer/Désactiver Vehicle AI"
"optionFireTruckAI","Camion de pompiers"
"optionFireCopterAI","Hélicoptère des pompiers"
"optionGarbageTruckAI","Camion poubelle"
"optionPoliceCarAI","Voiture de police"
"optionPoliceCopterAI","Hélicoptères de police"
"txtVehicleAIDescription","VehicleAI permet aux véhicules de trouver des problèmes à résoudre dans leur zone."
"tabImportExport","Import / Export"
"GROUP_IMPORT_RESTRICTIONS","Autoriser les importations"
"txtImportRestrictions","Assurez-vous d'avoir une production propre suffisante avant de désactiver ces ressources."
"sliderWarehouseReservePercent","Réserve de camion pour les transferts locaux (%)"
"sliderWarehouseFirstPercent","Réserve de camion pour les transferts locaux (%)"
"GROUP_DUMMY_TRAFFIC","Trafic fictif"
"optionDummyTraffic","Désactiver le trafic fictif"
"txtDummyTraffic","Le jeu ajoute du trafic fictif pour rendre la ville plus vivante. Cette option bloque les transferts de trafic fictif pour réduire le trafic dans la ville."
"optionWarehouseOverride","Remplacer les paramètres globaux"
"listConnectionName","Nom"
"listConnectionType","Type"
"listConnectionGuest","Véhicules"
"listConnectionOwn","Véhicules"
"listConnectionMultiplier","Coefficient"
"listConnectionImport","Import"
"listConnectionExport","Export"
"titleOutsideConnectionPanel","Connexions extérieures"
"GROUP_BUILDINGPANEL_OUTSIDE_DISTANCE_MULTIPLIER","Coefficient de distance"
"sliderOutsideDistanceMultiplier","Coefficient"
"sliderOutsideDistanceMultiplierTooltip","0 = Utiliser le réglage global\r\n1 = Aucun changement de distance\r\n10 = 10x Plus loin"
"OutsideMultiplierDescription1","Ces coefficients sont utilisés pour calculer la portée de la connexion dans l'algorithme de mise en correspondance, afin de donner l'impression que la connexion est plus éloignée et donc moins susceptible d'être choisie comme correspondance."
"OutsideMultiplierDescription2","1 = Pas de changement de distance"
"OutsideMultiplierDescription3","10 = 10 x plus loin"
"sliderShipMultiplier","Coefficient des bateaux"
"sliderPlaneMultiplier","Coefficient des avions"
"sliderTrainMultiplier","Coefficient des trains"
"sliderRoadMultiplier","Coefficient des routes"
"GROUP_OUTSIDE_CONNECTIONS_PANEL","Panneau de Connexion Extérieure"
"keyOpenOutsidePanel","Ouvrir Panneau de Connexion Extérieure"
"optionNewWarehouseTransfer","Amélioration du transfert entre entrepôts"
"txtNewInterWarehouseMatching","Cette option permet d'effectuer des transferts entre entrepôts, mais surveille les stocks afin que les entrepôts n'envoient pas de marchandises dans un sens ou dans l'autre inutilement."
"txtDetectedDistricts","Quartiers détectés"
"btnDistricts","Districts"
"btnDistrict","Quartier"
"btnPark","Parc/Industrie"
"btnMap","Carte"
"txtNone","Aucun"
"txtVehiclesNone","Aucun"
"txtStatusNone","Aucun"
"GROUP_BUILDINGPANEL_DISTANCE_RESTRICTIONS","Restrictions de distance"
"sliderDistanceRestriction","Distance maximale des correspondances(km)"
"sliderDistanceRestrictionTooltip","0 = Utiliser le paramètre global, s'il y a ou non une restriction.\r\n1+ = Distance de correspondance maximale"
"titleDistrictPanel","Sélectionnez les quartiers"
"txtAllowedDistricts","Quartiers autorisés"
"txtBlockedDistricts","Blocked Districts"
"txtCurrentDistrict","Quartier actuel"
"txtCurrentPark","Parc actuel"
"txtLoad","Chargement"
"GROUP_IMPROVED_SERVICES_MATCHING","Improved Service Matching"
"tabMatches","Matches"
"titleTransferStatsPanel","Transfer Manager Statistics"
"sliderOutsideCargoCapacity","Cargo Capacity"
"sliderOutsideResidentCapacity","Resident Capacity"
"sliderOutsideTouristFactor0","Tourist Factor 0"
"sliderOutsideTouristFactor1","Tourist Factor 1"
"sliderOutsideTouristFactor2","Tourist Factor 2"
"sliderOutsideDummyTrafficFactor","Dummy Traffic Factor"
"btnOutsideReset","Reset"
"GROUP_OUTSIDE_SETTINGS","Outside Connection Parameters"
"GROUP_BALANCED_MATCH_MODE","Balanced Match Mode"
"dropdownBalancedTitle","Match First When Equal"
"dropdownBalancedModeIncomingFirst","Match Incoming First (Vanilla)"
"dropdownBalancedModeLeastFirst","Match Least Offers First"
