"Context","Source/Translation"
"CODE","es"
"NAME","Español"
"TMCE_NAM","Administrador de transferencias"
"tabTransferManager","Administrador de transferencias"
"tabCallAgain","CallAgain"
"tabGeneral","General"
"DEBUGPROFILE","Administrador de transferencia personalizado"
"optionEnableNewTransferManager","Habilitar el administrador de transferencia personalizado"
"GROUP_SERVICE_OPTIONS","Opciones de servicio"
"optionPreferLocalService","Preferir dentro de los servicios del distrito"
"optionPreferLocalService_txt","Mejore aún más la localidad de los servicios haciendo coincidir las solicitudes de baja prioridad solo con edificios de servicios dentro del mismo distrito (o fuera de cualquier distrito). Una vez que una solicitud insatisfecha se convierte en alta prioridad, será atendida por cualquier oferta de servicio cercana. Afecta: basura, policía, sanidad, mantenimiento, correo, taxi."
"GROUP_WAREHOUSE_OPTIONS","Opciones de entrega de mercancías"
"optionWarehouseFirst","Almacén primero"
"optionWarehouseFirst_txt","Prefiere realizar todas las entregas de mercancías (entrantes y salientes) a través de almacenes, si están disponibles. Aumentará el tráfico del almacén, por lo que es mejor que sus almacenes estén bien ubicados estratégicamente."
"optionWarehouseReserveTrucks","Almacén de reserva de camiones de carga para traslados locales"
"optionWarehouseReserveTrucks_txt","Se recomienda habilitar con Warehouse First: reservar el 25% de la capacidad de los camiones del almacén para satisfacer la demanda de la ciudad, evita que todos los camiones se utilicen para la exportación."
"optionWarehouseNewBalanced","Bodega localidad mejorada"
"optionWarehouseNewBalanced_txt","Los almacenes esperarán para comprar a los almacenes locales o vender a los almacenes locales antes de decidir importar/exportar respectivamente. Esto debería reducir las importaciones/exportaciones innecesarias y hacer que las transferencias de almacenes dentro de la ciudad sean más confiables. Tenga en cuenta que las importaciones/exportaciones seguirán ocurriendo."
"GROUP_EXPORTIMPORT_OPTIONS","Opciones de exportación/importación"
"optionPreferExportShipPlaneTrain","Importación/Exportación prefiere usar barco/avión/tren en lugar de carretera"
"optionPreferExportShipPlaneTrain_txt","Todas las importaciones/exportaciones intentan priorizar el uso de las conexiones disponibles por barco, tren o avión en lugar de las carreteras, incluso si una conexión por carretera está más cerca."
"GROUP_EXPERIMENTAL_DEATHCARE","Experimental"
"optionDeathcareExperimental","Transferencias mejoradas de atención de la muerte"
"txtDeathcareExperimental","De manera predeterminada, los cementerios envían una oferta de transferencia para un coche fúnebre a la vez. Esta opción cambia la oferta para que sea el número de coches fúnebres disponibles, lo que puede resultar en una mejor capacidad de respuesta en el cuidado de la muerte."
"CallAgainEnabled","Habilitar llamar de nuevo"
"sliderCallAgainUpdateRate","Tasa de actualización de llamada de nuevo"
