DEBUGPROFILE	DEBUGGING / PROFILING ONLY
optionEnableNewTransferManager	ENABLE/DISABLE TRANSFER MANAGER
GROUP_GENERAL	Opções gerais
optionPathfindChirper	Chirp sobre problemas de roteamento/pathfind
optionPathfindChirper_txt	Avisará regularmente sobre problemas quando as transferências não puderem atingir seu destino devido a problemas de roteamento com sua rede rodoviária. Clique no Cim que piou para descobrir em qual prédio ele trabalha ou mora. Também exibirá o nome do prédio personalizado se estiver presente (caso contrário, o nome do modelo interno). O PÁSSARO SÓ NOTIFICA - VOCÊ TEM QUE CORRIGIR OS PROBLEMAS! 
GROUP_SERVICE_OPTIONS	Opções de Serviço
optionPreferLocalService	Preferir serviços no distrito local
optionPreferLocalService_txt	Melhora ainda mais os serviços locais, conectando requisições de prioridade baixa somente com serviços dentro do mesmo distrito (ou fora de qualquer distrito). Se uma requisição se tornar de alta prioridade, ela será atendida por qualquer serviço, independente do distrito que está. Afeta: lixo, polícia, saúde, manutenção, email e taxi.
GROUP_WAREHOUSE_OPTIONS	Opções de Entrega de Produtos
optionWarehouseFirst	Armazém Primeiro
optionWarehouseFirst_txt	Se disponível, prefere realizar a entrega de todos os produtos (exportação e importação) através de armazéns. Como esta opção aumenta o trânsito em armazéns, é aconselhável que eles estejam colocados de forma estratégica na cidade.
optionWarehouseReserveTrucks	Reserva caminhões de armazéns para transferências locais
optionWarehouseReserveTrucks_txt	Recomendado se Armazém Primeiro estiver habilitado: reserva 25% da capacidade the caminhões de armazéns para atender a demanda da cidade, prevenindo que todos os caminhões sejam usados para exportação.
optionWarehouseNewBalanced	Armazém local
optionWarehouseNewBalanced_txt	Armazéns irão esperar para comprar ou vender para outros armazéns locais antes de decidir importar/exportar. Isto deverá ajudar a reduzir importação/exportação desnecessária e fazer com que as transferências dentro da cidade sejam mais eficientes. Note que ainda haverá importação e exportação.
GROUP_EXPORTIMPORT_OPTIONS	Opções de Importação/Exportação
optionPreferExportShipPlaneTrain	Importação/Exportação preferem usar navio/avião/trem ao invés de rodovias
optionPreferExportShipPlaneTrain_txt	Função Experimental!
