"Context","Source/Translation"
"CODE","ja"
"NAME","日本語"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","転送の管理"
"tabGeneral","一般"
"tabWarehouses","倉庫"
"tabServices","サービス"
"DEBUGPROFILE","最適化した転送管理"
"optionEnableNewTransferManager","最適化した転送管理を有効化"
"GROUP_SERVICE_OPTIONS","サービスのオプション"
"optionPreferLocalService","地区のサービスを優先"
"optionPreferLocalService_txt","優先度の低いリクエストは同じ地区内(または近隣地区) のみで照合して、 各建物に対する都市サービスの優先度や利便性が更に向上します。 そして、未達成のリクエストで優先度が高くなった場合は、 近くの都市サービスから提供されて処理します。 影響: ゴミ/警察/医療/整備車両/郵便/タクシー"
"GROUP_WAREHOUSE_OPTIONS","商品配送のオプション"
"optionWarehouseFirst","倉庫を優先"
"optionWarehouseFirst_txt","使用可能な場合は、 倉庫経由で全ての商品配送(輸出入) を行うことをお勧めします。 倉庫周辺の交通量が増えるため、 倉庫を戦略的かつ適切に配置することが要求されます。"
"optionWarehouseReserveTrucks","倉庫のトラックを市内配送用に予約"
"optionWarehouseReserveTrucks_txt","「倉庫を優先」機能と併用を推奨: 倉庫のトラックを設定した割合で都市内用に予約して、 全てのトラックが輸出で使用される現象を防止します。"
"GROUP_EXPORTIMPORT_OPTIONS","輸出入のオプション"
"GROUP_EXPERIMENTAL_DEATHCARE","葬儀/ゴミ処理"
"optionDeathcareExperimental","葬儀の改善"
"optionGarbageExperimental","ゴミ収集の改善"
"optionPoliceExperimental","パトカー巡回の改善"
"txtDeathcareExperimental","デフォルトの転送オファーは該当サービスの施設に全て要求して、 1台の車両を同時にスポーンさせようとします。 このオプションは転送オファーの要求方法を変更して、 車両のスポーンを改善します。"
"GROUP_TRANSFERISSUE_PANEL","転送の問題点パネル"
"keyOpenTransferIssuePanel","転送の問題点パネルを開く"
"optionShowIssuesWithVehiclesOnRoute","経路に問題のある車両を表示"
"sliderTransferIssueDeleteResolvedDelay","解決した遅延を削除"
"GROUP_STATISTICS_PANEL","統計パネル"
"keyOpenStatisticsPanel","統計パネルを開く"
"StatisticsPanelEnabled","統計を有効化"
"btnResetPathingStatistics","経路の統計をリセット"
"buttonResetTransferStatistics","転送の統計をリセット"
"tabBuildingPanelSettings","設定"
"GROUP_BUILDINGPANEL_SERVICES","サービスのオプション"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","外部接続"
"dropdownBuildingPanelImportExport","輸出入"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","商品配送のオプション"
"chkBuildingPanelReserveWarehouseTrucks","倉庫のトラックを市内配送用に予約"
"tabBuildingPanelStatus","ステータス"
"listBuildingPanelStatusColumn1","素材"
"listBuildingPanelStatusColumn2","数値"
"listBuildingPanelStatusColumn3","応答"
"listBuildingPanelStatusColumn4","車両"
"listBuildingPanelStatusColumn5","説明"
"tabBuildingPanelTransfers","転送先"
"labelBuildingPanelOffers","転送のオファー"
"labelBuildingPanelMatchOffers","一致したオファー"
"listBuildingPanelOffersColumn1","出入り"
"listBuildingPanelOffersColumn2","素材"
"listBuildingPanelOffersColumn3","優先度"
"listBuildingPanelOffersColumn4","移動中"
"listBuildingPanelOffersColumn5","数量"
"listBuildingPanelOffersColumn6","説明"
"listBuildingPanelMatchesColumn1","時間"
"listBuildingPanelMatchesColumn2","素材"
"listBuildingPanelMatchesColumn3","移動中"
"listBuildingPanelMatchesColumn4","数量"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","説明"
"titleTransferIssuesPanel","転送の問題点"
"tabTransferIssuesPathing","経路情報"
"listPathingColumn1","時間"
"listPathingColumn2","ソース"
"listPathingColumn3","対象"
"tabTransferIssuesDead","死者"
"listDeadColumn1","死者"
"listDeadColumn2","タイマー"
"listDeadColumn3","ソース"
"listDeadColumn4","対象"
"listDeadColumn5","車両"
"tabTransferIssuesSick","病人"
"listSickColumn1","病人"
"listBuildingPanelVehicleTarget","対象"
"dropdownBuildingPanelPreferLocalLabel","地区の制限"
"dropdownBuildingPanelPreferLocal1","全ての地区でサービス"
"dropdownBuildingPanelPreferLocal2","地区を優先"
"dropdownBuildingPanelPreferLocal3","地区内のみ"
"tabTransferIssuesOutside","外部"
"GROUP_BUILDING_PANEL","建物パネル"
"keyOpenBuildingPanel","建物パネルを開く"
"GROUP_LOCALISATION","使用言語"
"dropdownLocalization","言語"
"tabBuildingPanelVehicles","車両"
"txtBuildingPanelTransferManagerWarning","警告: 各種の設定は、「最適化した転送管理」を有効化する必要があります"
"tabTransferIssuesGoods","商品"
"chkShowIssuesWithVehicles","経路に問題のある車両を表示"
"GROUP_BUILDINGPANEL_DISTRICT","地区の制限"
"dropdownBuildingPanelOutgoingPreferLocalLabel","発信"
"dropdownBuildingPanelIncomingPreferLocalLabel","受信"
"chkAllowImport","輸入を許可"
"chkAllowExport","輸出を許可"
"GROUP_BUILDINGPANEL_APPLYTOALL","同じタイプの建物で一括適用"
"tabExperimental","実験的な機能"
"chkDistrictAllowServices","サービスを許可 (ゴミ回収, 消防車, パトカーなど)"
"GROUP_DISTANCE_LIMITS","制限距離"
"tabDistanceRestrictions","距離"
"sliderDeathcareDistanceLimits","霊柩車の制限距離 (km)"
"sliderHealthcareDistanceLimits","救急車の制限距離 (km)"
"sliderGarbageDistanceLimits","ゴミ収集車の制限距離 (km)"
"sliderPoliceDistanceLimits","パトカーの制限距離 (km)"
"sliderFireDistanceLimits","消防車の制限距離 (km)"
"sliderMailDistanceLimits","郵便車両の制限距離 (km)"
"txtDistanceLimits","許可する最長の一致距離を指定します。0は無制限になって、輸出入は影響を受けません。"
"tabVehicleAI","車両AI"
"GROUP_VEHICLE_AI","車両AIを有効化/無効化"
"optionFireTruckAI","消防車"
"optionFireCopterAI","消防ヘリ"
"optionGarbageTruckAI","ゴミ収集車"
"optionPoliceCarAI","パトカー"
"optionPoliceCopterAI","警察ヘリ"
"txtVehicleAIDescription","車両AIを強化して、該当車両が近隣にある問題点を探して解決を図ります。"
"tabImportExport","輸出入"
"GROUP_IMPORT_RESTRICTIONS","輸入を許可"
"txtImportRestrictions","これらの資源を無効化する前に、都市内に十分な生産量があるか確認してください。"
"sliderWarehouseReservePercent","都市内用の配送トラックを予約 (%)"
"sliderWarehouseFirstPercent","都市内用の配送トラックを予約 (%)"
"GROUP_DUMMY_TRAFFIC","ダミートラフィック"
"optionDummyTraffic","ダミートラフィックを無効化"
"txtDummyTraffic","ゲーム内の都市では活気を出すために、ダミートラフィックを追加しています。このオプションはダミートラフィックの発生をブロックして、都市内の不要な交通量を減らします。"
"optionWarehouseOverride","グローバル設定を上書き"
"listConnectionName","名前"
"listConnectionType","タイプ"
"listConnectionGuest","車両"
"listConnectionOwn","車両"
"listConnectionMultiplier","乗数"
"listConnectionImport","輸入"
"listConnectionExport","輸出"
"titleOutsideConnectionPanel","外部接続"
"GROUP_BUILDINGPANEL_OUTSIDE_DISTANCE_MULTIPLIER","外部接続の乗数"
"sliderOutsideDistanceMultiplier","乗数"
"sliderOutsideDistanceMultiplierTooltip","0 = グローバル設定を使用\r\n1 = 距離に変更なし\r\n10 = 10倍の距離で計算"
"OutsideMultiplierDescription1","これらの乗数は、マッチングアルゴリズムで計算した距離に適用します。 接続先が遠方に見えて、 一致先として選択される可能性が低下します。"
"OutsideMultiplierDescription2","1 = 距離に変化なし"
"OutsideMultiplierDescription3","10 = 10倍の距離"
"sliderShipMultiplier","船舶の乗数"
"sliderPlaneMultiplier","飛行機の乗数"
"sliderTrainMultiplier","鉄道の乗数"
"sliderRoadMultiplier","道路の乗数"
"GROUP_OUTSIDE_CONNECTIONS_PANEL","外部接続パネル"
"keyOpenOutsidePanel","外部接続パネルを開く"
"optionNewWarehouseTransfer","倉庫間の転送を改善"
"txtNewInterWarehouseMatching","オプションを使用すると、倉庫間の転送を低い優先度で実行します。 保管状況をチェックして、倉庫間で意味の無い商品の移送を可能な限り防ぎます。"
"txtDetectedDistricts","検出した地区"
"btnDistrict","地区"
"btnPark","パーク/産業"
"btnMap","マップ"
"txtNone","無し"
"txtVehiclesNone","無し"
"txtStatusNone","無し"
"GROUP_BUILDINGPANEL_DISTANCE_RESTRICTIONS","距離の制限"
"sliderDistanceRestriction","最長の一致距離 (km)"
"sliderDistanceRestrictionTooltip","0 = グローバル設定がある場合は使用 (未設定は無制限)\r\n1+ = 最長の一致距離"
"titleDistrictPanel","地区を選択"
"txtAllowedDistricts","許可した地区"
"txtCurrentDistrict","現在の地区"
"txtCurrentPark","現在のパークエリア"
"txtLoad","積載量"

