"Context","Source/Translation"
"CODE","nl"
"NAME","Nederlands"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Transfer Manager"
"tabGeneral","Algemeen"
"tabWarehouses","Magazijnen"
"tabServices","Diensten"
"DEBUGPROFILE","Aangepaste Transfermanager"
"optionEnableNewTransferManager","Aangepaste Transfermanager inschakelen"
"GROUP_SERVICE_OPTIONS","Diensten opties"
"optionPreferLocalService","Voorkeur voor diensten binnen district"
"optionPreferLocalService_txt","De dienstverlening verder verbeteren door verzoeken met lage prioriteit alleen toe te wijzen aan dienstgebouwen in hetzelfde district (of buiten elk ander district). Zodra een verzoek een hoge prioriteit krijgt, zal het ook worden doorgestuurd naar gebouwen buiten het eigen district. Beïnvloedt: afval, politie, gezondheidszorg, onderhoud, post, taxi."
"GROUP_WAREHOUSE_OPTIONS","Leveringsopties Goederen"
"optionWarehouseFirst","Magazijn Eerst"
"optionWarehouseFirst_txt","Alle goederenleveringen (inkomend en uitgaand) worden afgehandeld via magazijnen, indien beschikbaar. Verhoogt het verkeer van de magazijnen, daarom moeten ze strategisch goed gelegen zijn."
"optionWarehouseReserveTrucks","Reserveer magazijn vrachtwagens voor lokale overdrachten"
"optionWarehouseReserveTrucks_txt","Aanbevolen indien de optie ""Magazijn Eerst"" is geactiveerd: reserveer een % van de vrachtwagens van een magazijn om verzoeken uit de stad te bedienen, voorkomt dat alle vrachtwagens voor export worden gebruikt."
"GROUP_EXPORTIMPORT_OPTIONS","Opties voor exporteren/importeren"
"GROUP_EXPERIMENTAL_DEATHCARE","Uitvaartverzorging/ Vuilnis"
"optionDeathcareExperimental","Verbeterd transport van overledenen"
"optionGarbageExperimental","Verbeterd transport van afval"
"optionPoliceExperimental","Verbeterde overdrachten bij politiediensten"
"txtDeathcareExperimental","Standaard sturen begraafplaatsen, afvalcentra en politiebureaus een overdrachtsaanbod voor één voertuig per keer uit. Deze optie veranderd het aanbod naar het aantal beschikbare voertuigen. Dit kan de effectiviteit van de diensten verbeteren."
"GROUP_TRANSFERISSUE_PANEL","Probleemoverzicht Overdrachten"
"keyOpenTransferIssuePanel","Open Probleemoverzicht Overdrachten"
"optionShowIssuesWithVehiclesOnRoute","Toon problemen met voertuigen die onderweg zijn"
"sliderTransferIssueDeleteResolvedDelay","Vertraging voor verwijderen van opgeloste problemen"
"GROUP_STATISTICS_PANEL","Statistiekvenster"
"keyOpenStatisticsPanel","Open statistiekvenster"
"StatisticsPanelEnabled","Statistieken inschakelen"
"btnResetPathingStatistics","Reset Pathing"
"buttonResetTransferStatistics","Herstel Overdrachtstatistieken"
"tabBuildingPanelSettings","Instellingen"
"GROUP_BUILDINGPANEL_SERVICES","Diensten opties"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","Uitgaande verbindingen"
"dropdownBuildingPanelImportExport","Import/Export"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","Leveringsopties Goederen"
"chkBuildingPanelReserveWarehouseTrucks","Vrachtwagens van magazijnen reserveren voor verzoeken uit de stad"
"tabBuildingPanelStatus","Status"
"listBuildingPanelStatusColumn1","Materiaal"
"listBuildingPanelStatusColumn2","Waarde"
"listBuildingPanelStatusColumn3","Respondent"
"listBuildingPanelStatusColumn4","Voertuig"
"listBuildingPanelStatusColumn5","Timer"
"tabBuildingPanelTransfers","Overdrachten"
"labelBuildingPanelOffers","Transfer Aanbod"
"labelBuildingPanelMatchOffers","Overeengekomen Aanbod"
"listBuildingPanelOffersColumn1","In/Uit"
"listBuildingPanelOffersColumn2","Materiaal"
"listBuildingPanelOffersColumn3","Prioriteit"
"listBuildingPanelOffersColumn4","Actief"
"listBuildingPanelOffersColumn5","Aantal"
"listBuildingPanelOffersColumn6","Beschrijving"
"listBuildingPanelMatchesColumn1","Tijd"
"listBuildingPanelMatchesColumn2","Materiaal"
"listBuildingPanelMatchesColumn3","Actief"
"listBuildingPanelMatchesColumn4","Aantal"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","Beschrijving"
"titleTransferIssuesPanel","Transferproblemen"
"tabTransferIssuesPathing","Routering"
"listPathingColumn1","Tijd"
"listPathingColumn2","Bron"
"listPathingColumn3","Doel"
"tabTransferIssuesDead","Overleden"
"listDeadColumn1","Overleden"
"listDeadColumn2","Timer"
"listDeadColumn3","Bron"
"listDeadColumn4","Doel"
"listDeadColumn5","Voertuig"
"tabTransferIssuesSick","Ziek"
"listSickColumn1","Ziek"
"listBuildingPanelVehicleTarget","Doel"
"dropdownBuildingPanelPreferLocalLabel","District Beperkingen"
"dropdownBuildingPanelPreferLocal1","Alle Districten"
"dropdownBuildingPanelPreferLocal2","Voorkeur Binnen District"
"dropdownBuildingPanelPreferLocal3","Enkel Binnen District"
"dropdownBuildingPanelPreferLocal4","Alle districten, behalve"
"tabTransferIssuesOutside","Uitgaand"
"GROUP_BUILDING_PANEL","Gebouw Venster"
"keyOpenBuildingPanel","Gebouwevenster Openen"
"GROUP_LOCALISATION","Regionale instellingen"
"dropdownLocalization","Taal"
"tabBuildingPanelVehicles","Voertuigen"
"txtBuildingPanelTransferManagerWarning","Let op: Deze instellingen vereisen dat Aangepaste Transfermanager is ingeschakeld."
"tabTransferIssuesGoods","Goederen"
"chkShowIssuesWithVehicles","Toon problemen met voertuigen die onderweg zijn"
"GROUP_BUILDINGPANEL_DISTRICT","District Beperkingen"
"dropdownBuildingPanelOutgoingPreferLocalLabel","Uitgaand"
"dropdownBuildingPanelIncomingPreferLocalLabel","Inkomend"
"chkAllowImport","Import Toestaan"
"chkAllowExport","Export Toestaan"
"GROUP_BUILDINGPANEL_APPLYTOALL","Op alle gebouwen van dit type toepassen"
"tabExperimental","Experimenteel"
"chkDistrictAllowServices","Diensten toestaan (vuilnis, brandweer, politie...)"
"GROUP_DISTANCE_LIMITS","Afstandslimieten"
"tabDistanceRestrictions","Afstand"
"sliderDeathcareDistanceLimits","Afstandslimiet voor uitvaartdienst (km)"
"sliderHealthcareDistanceLimits","Afstandslimiet voor gezondheidszorg (km)"
"sliderGarbageDistanceLimits","Afstandslimiet voor vuilnis (km)"
"sliderPoliceDistanceLimits","Afstandslimiet voor politie (km)"
"sliderFireDistanceLimits","Afstandslimiet voor brandweer (km)"
"sliderMailDistanceLimits","Afstandslimiet voor post (km)"
"txtDistanceLimits","Maximaal toegestane afstand, 0 = Onbeperkt. Import/Export wordt niet beïnvloed."
"tabVehicleAI","Voertuig AI"
"GROUP_VEHICLE_AI","Voertuig AI in-/uitschakelen"
"optionFireTruckAI","Brandweerwagen"
"optionFireCopterAI","Blushelikopter"
"optionGarbageTruckAI","Vuilniswagen"
"optionPoliceCarAI","Politiewagen"
"optionPoliceCopterAI","Politiehelikopter"
"txtVehicleAIDescription","VoertuigAI verbetert voertuigen om te zoeken naar problemen in de buurt om op te lossen."
"tabImportExport","Import/Export"
"GROUP_IMPORT_RESTRICTIONS","Import toestaan"
"txtImportRestrictions","Zorg ervoor dat je voldoende interne productie hebt voordat deze grondstoffen worden uitgeschakeld."
"sliderWarehouseReservePercent","Reserveer vrachtwagens voor Lokale Overdrachten (%)"
"sliderWarehouseFirstPercent","Reserveer vrachtwagens voor Lokale Overdrachten (%)"
"GROUP_DUMMY_TRAFFIC","Model Verkeer"
"optionDummyTraffic","Model Verkeer Uitschakelen"
"txtDummyTraffic","Het spel voegt model verkeer toe om de stad meer tot leven te laten komen. Deze optie blokkeert dit verkeer om zo de hoeveelheid verkeer in de stad te verminderen."
"optionWarehouseOverride","Algemene Instellingen Overschrijven"
"listConnectionName","Naam"
"listConnectionType","Type"
"listConnectionGuest","Voertuigen"
"listConnectionOwn","Voertuigen"
"listConnectionMultiplier","Vermenigvuldiger"
"listConnectionImport","Import"
"listConnectionExport","Export"
