"Context","Source/Translation"
"CODE","de"
"NAME","Deutsch"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Transfer Manager"
"tabGeneral","Allgemein"
"tabWarehouses","Waren-Lieferungen"
"tabServices","Dienstleistungen"
"DEBUGPROFILE","Benutzerspezifischer Transfer Manager"
"optionEnableNewTransferManager","Benutzerspezifischen Transfer Manager aktivieren"
"GROUP_SERVICE_OPTIONS","Serviceoptionen"
"",""
"GROUP_SERVICE_DISTRICT_OPTIONS","Bezirksoptionen"
"optionPreferLocalService","Eigenes Stadtviertel bevorzugen"
"optionPreferLocalService_txt","Weitere Verbesserung der Dienstleistungen, indem Anfragen mit niedriger Priorität nur Dienstleistungsgebäuden im gleichen Stadtviertel (oder außerhalb eines Stadtviertels) zugewiesen werden. Sobald eine Anfrage eine hohe Priorität erhält, wird diese auch an Gebäude außerhalb des eigenen Stadtviertels weitergeleitet. Betrifft: Müll, Polizei, Gesundheitswesen, Straßeninstandsetzung, Post, Taxi."
"txtPreferLocalService","Beschränke Dienste auf lokale Bezirke, indem du Anfragen mit niedriger Priorität nur mit Servicegebäuden innerhalb desselben Bezirks abgleichst. Sobald eine unerfüllte Anfrage hohe Priorität erhält, kann sie von jedem nahe gelegenen Dienstangebot bedient werden."
"txtPreferLocalServiceWarning","Warnung: Dies ist eine leistungsstarke Option. Bitte stelle sicher, dass du Bezirke für jeden deiner Bereiche definiert hast und Dienste in diesen Bezirken verfügbar sind, bevor du diese Option aktivierst."
"",""
"GROUP_WAREHOUSE_OPTIONS","Lagerhaus-Optionen"
"optionWarehouseFirst","Lagerangebote zuerst abgleichen"
"optionWarehouseFirst_txt","Diese Option gleicht eingehende Lagerangebote früh im Abgleichprozess ab, was dazu führt, dass die meisten Warentransfers über Lagerhäuser erfolgen."
"",""
"txtWarehouseSmartImportExport","This option will apply smarter importing/exporting rules to Balanced mode warehouses, they will now only be able to import up to 1/3rd full and export when fuller than 2/3rds."
"optionWarehouseSmartImportExport","Smarter Warehouse Import / Export"
"",""
"txtImprovedWarehouseMatching","Vanilla warehouse offers are limited to priority 2, this option will allow them to scale to priority 7. Only available when smart inter-warehouse matching is ON."
"optionImprovedWarehouseMatching","Improved Warehouse Transfers"
"",""
"txtNewInterWarehouseMatching","Diese Option ermöglicht Transfers zwischen Lagerhäusern mit niedriger Priorität, überprüft aber den Füllstand, um sicherzustellen, dass Lagerhäuser nicht zwecklos Waren hin und her senden."
"optionNewWarehouseTransfer","Verbesserter Transfer zwischen Lagerhäusern"
"",""
"optionWarehouseReserveTrucks","Frachtlaster für innerstädtische Anfragen reservieren"
