"Context","소스/번역"
"CODE","ko"
"NAME","한국어"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Transfer Manager"
"tabGeneral","일반 사항"
"tabWarehouses","상품 배송"
"tabServices","공공서비스"
"DEBUGPROFILE","사용자 지정 교통 관리"
"optionEnableNewTransferManager","사용자 지정 교통 관리자 활성화"
"GROUP_SERVICE_OPTIONS","공공서비스 옵션"
"",""
"GROUP_SERVICE_DISTRICT_OPTIONS","구역 설정"
"optionPreferLocalService","지역 서비스를 선호"
"optionPreferLocalService_txt","우선순위가 낮은 요청은 동일한 구역(또는 밖의 다른 구역이라도) 내의 서비스 건물과만 매칭시킴으로써 서비스의 지역성을 더욱 향상시킵니다. 그러나 이행되지 못한 요청의 우선순위가 높아지고 나면 근처의 아무 서비스 오퍼에서 처리됩니다. 다음에 영향을 미침: 쓰레기, 경찰, 의료, 정비, 우편, 택시."
"txtPreferLocalService","우선 순위가 낮은 요청을 같은 구역 내의 서비스 건물에만 연결하여 서비스를 지역 구역으로 제한합니다. 충족되지 않은 요청이 높은 우선 순위가 되면 근처의 아무 서비스 오퍼에 의해 처리될 수 있습니다."
"txtPreferLocalServiceWarning","경고: 이 옵션은 매우 강력합니다. 이 옵션을 활성화하기 전에 
각 지역에 대해 구역을 정의하고 해당 구역 내에서 서비스를 사용할 수 있는지 확인하십시오."
"",""
"GROUP_WAREHOUSE_OPTIONS","창고 옵션"
"optionWarehouseFirst","창고 주문을 최우선으로 처리"
"optionWarehouseFirst_txt","이 옵션은 들어오는 창고 오퍼를 매칭 프로세스 초반에 매치하여 대부분의 상품 운송이 창고를 통해 이루어지게 합니다."
"",""
"txtWarehouseSmartImportExport","This option will apply smarter importing/exporting rules to Balanced mode warehouses, they will now only be able to import up to 1/3rd full and export when fuller than 2/3rds."
"optionWarehouseSmartImportExport","Smarter Warehouse Import / Export"
"",""
"txtImprovedWarehouseMatching","바닐라 창고 오퍼는 우선순위 2로 제한되며, 이 옵션을 사용하면 우선순위 7로 확장할 수 있습니다."
"optionImprovedWarehouseMatching","개선된 창고 운송"
"",""
"txtNewInterWarehouseMatching","이 옵션을 사용하면 창고 간 이동이 더 낮은 우선순위로 수행될 수 있지만 창고가 아무 이익도 없이 목적 없이 물건을 앞뒤로 보내지 않도록 보관 수준을 확인합니다."
"optionNewWarehouseTransfer","창고끼리 운송을 개선하기"
"",""
"optionWarehouseReserveTrucks","지역 이동을 위한 창고 화물 트럭 예약"
"optionWarehouseReserveTrucks_txt","Warehouse First와 함께 활성화하는 것이 좋습니다. 도시 수요를 충족하기 위해 창고 트럭 용량의 %를 예약하고 모든 트럭이 수출에 사용되는 것을 방지합니다."
"txtNewWarehouseReserveTrucks","이 옵션은 남은 트럭의 수가 이 백분율보다 작을 때 수입 화물주문의 우선 순위를 낮춥니다. 이는 우선순위가 높은 지역의 수요를 충족해줄 트럭을 남겨 비축하는 효과가 있습니다."
"",""
"GROUP_FACTORY_OPTIONS","공장 옵션"
"optionFactoryFirst","공장 오퍼를 먼저 매치"
"optionFactoryFirstText","이 옵션은 들어오는 공장 오퍼를 매칭 프로세스 초반에 매치하여 개선된 운영을 위해 공장이 이용가능한 가장 가까운 오퍼와 매치되도록 보장합니다."
"",""
"GROUP_EXPORTIMPORT_OPTIONS","내보내기/가져오기 옵션"
"OutsidePriorityDescription","These priorities will be applied in the matching process to make the outside connections more or less likely to be matched."
"txtCargoPriority","Cargo Priority"
"txtCitizenPriority","Citizen Priority"
"",""
"GROUP_EXPERIMENTAL_DEATHCARE","장례/쓰레기"
"optionDeathcareExperimental","개선된 장례 이송"
"optionGarbageExperimental","개선된 쓰레기 이송"
"optionPoliceExperimental","개선된 경찰 전송"
"optionImprovedMailTransfers","개선된 우편 전달"
"txtDeathcareExperimental","기본적으로 묘지, 쓰레기 및 경찰서는 한 번에 한 대의 차량에 운반 지시를 합니다. 이 옵션은 사용가능한 차량의 수 만큼 운송 지령을 내림으로서 운송 요청과 차량 상태 간의 일치가 개선될 수 있습니다.\r\n이제 또한 차량의 1/2 미만만이 사용 중일 때 오퍼 우선순위를 높입니다."
"",""
"GROUP_TRANSFERISSUE_PANEL","화물 운반 상황판"
"keyOpenTransferIssuePanel","화물운송 상황판 열기"
"optionShowIssuesWithVehiclesOnRoute","경로상의 차량 문제 표시"
"sliderTransferIssueDeleteResolvedDelay","지연운송이 완료된 건 삭제"
"",""
"GROUP_STATISTICS_PANEL","통계 패널"
"keyOpenStatisticsPanel","통계 패널 열기"
"StatisticsPanelEnabled","통계 활성화"
"btnResetTransferManagerSettings","모든 교통 관리 설정 재설정"
"btnResetPathingStatistics","경로 초기화"
"buttonResetTransferStatistics","화물 운송 통계 초기와"
"tabBuildingPanelSettings","설정"
"",""
"GROUP_BUILDINGPANEL_SERVICES","서비스 옵션"
"",""
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","외부 연결"
"dropdownBuildingPanelImportExport","수입/수출"
"",""
"GROUP_BUILDINGPANEL_OUTSIDE_PRIORITY","Outside Connection Priority"
"txtOutsideConnectionCurrentCargoPriority","Current Cargo Priority"
"txtOutsideConnectionCurrentCitizenPriority","Current Citizen Priority"
"",""
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","상품 배송 옵션"
"chkBuildingPanelReserveWarehouseTrucks","지역 이동을 위한 창고 화물 트럭 예약"
"",""
"tabBuildingPanelStatus","상태"
"tabBuildingPanelStops","Stops"
"tabBuildingPanelTransfers","운반"
"",""
"listBuildingPanelStatusColumn1","원료"
"listBuildingPanelStatusColumn2","값"
"listBuildingPanelStatusColumn3","대응자"
"listBuildingPanelStatusColumn4","차량"
"listBuildingPanelStatusColumn5","타이머"
"",""
"labelBuildingPanelOffers","전송 오퍼"
"labelBuildingPanelMatchOffers","매치"
"listBuildingPanelOffersColumn1","출/입"
"listBuildingPanelOffersColumn2","원료"
"listBuildingPanelOffersColumn3","우선순위"
"listBuildingPanelOffersColumn4","활성화"
"listBuildingPanelOffersColumn5","양"
"listBuildingPanelOffersColumn6","설명"
"listBuildingPanelMatchesColumn1","시간"
"listBuildingPanelMatchesColumn2","원료"
"listBuildingPanelMatchesColumn3","활성화"
"listBuildingPanelMatchesColumn4","양"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","설명"
"titleTransferIssuesPanel","운반 상황"
"tabTransferIssuesPathing","경로 지정"
"tabTransferIssues","Issues"
"listPathingColumn1","시간"
"listPathingColumn2","출처"
"listPathingColumn3","대상"
"tabTransferIssuesDead","죽음"
"txtIssue","Issue"
"listDeadColumn1","죽음"
"listDeadColumn2","타이머"
"listDeadColumn3","출처"
"listDeadColumn4","대상"
"listDeadColumn5","차량"
"tabTransferIssuesSick","아픔"
"listSickColumn1","아픔"
"listBuildingPanelVehicleTarget","대상"
"dropdownBuildingPanelPreferLocalLabel","지구 제한"
"dropdownBuildingPanelPreferLocal1","모든 지구"
"dropdownBuildingPanelPreferLocal2","지구 내 선호"
"dropdownBuildingPanelPreferLocal3","지구 내에서만"
"dropdownBuildingPanelPreferLocal4","모든 지구, 다음을 제외하고"
"tabTransferIssuesOutside","외부"
"",""
"GROUP_BUILDING_PANEL","건물 패널"
"keyOpenBuildingPanel","건물 패널 열기"
"",""
"GROUP_LOCALISATION","번역"
"dropdownLocalization","언어 선택"
"tabBuildingPanelVehicles","차량"
"txtBuildingPanelTransferManagerWarning","경고: 이러한 설정을 사용하려면 Custom Transfer Manager를 활성화해야 합니다."
"tabTransferIssuesGoods","상품 입고"
"tabTransferIssuesGoodsOut","상품 출고"
"chkShowIssuesWithVehicles","경로상의 차량 문제 표시"
"",""
"GROUP_BUILDINGPANEL_DISTRICT","지구 제한"
"dropdownBuildingPanelOutgoingPreferLocalLabel","송신"
"dropdownBuildingPanelIncomingPreferLocalLabel","수신"
"chkAllowImport","수입 허용"
"chkAllowExport","수출 허용"
"",""
"GROUP_BUILDINGPANEL_APPLYTOALL","다음 유형의 건물에 적용"
"txtApplyToBuilding","건물에 적용"
"tabExperimental","실험적"
"chkDistrictAllowServices","서비스 허용(쓰레기, 화재, 경찰...)"
"",""
"GROUP_DISTANCE_LIMITS","거리 제한"
"tabDistanceRestrictions","거리"
"sliderDeathcareDistanceLimits","장례 거리 제한 (km)"
"sliderHealthcareDistanceLimits","의료 거리 제한(km)"
"sliderGarbageDistanceLimits","쓰레기 거리 제한 (km)"
"sliderPoliceDistanceLimits","경찰 거리 제한 (km)"
"sliderFireDistanceLimits","소방 거리 제한 (km)"
"sliderMailDistanceLimits","우편 거리 제한 (km)"
"txtDistanceLimits","Maximum allowed matching distance, 0 = Unlimited.\r\nImports/Exports are not affected."
"tabVehicleAI","차량 AI"
"",""
"GROUP_VEHICLE_AI","차량 AI 활성화/비활성화"
"optionFireTruckAI","소방차"
"optionFireCopterAI","소방헬기"
"optionPostVanAI","Post Van"
"optionGarbageTruckAI","쓰레기 트럭"
"optionPoliceCarAI","경찰차"
"optionPoliceCopterAI","경찰헬기"
"txtVehicleAIDescription","VehicleAI는 해결해야 할 문제를 가까이에서 찾도록 차량을 향상시킵니다."
"tabImportExport","수입/수출"
"",""
"GROUP_IMPORT_RESTRICTIONS","수입 허용"
"txtImportRestrictions","이 자원들을 비활성화하기 전에 내부 생산량이 충분한지 확인하십시오."
"sliderWarehouseReservePercent","로컬 배송을 위한 트럭 비축 (%)"
"sliderWarehouseReservePercentLocal","대기 중인 트럭(%)"
"",""
"GROUP_DUMMY_TRAFFIC","외부 진입 및 통과 교통량"
"optionDummyTraffic","외부 진입 및 통과 교통발생 비활성화"
"txtDummyTraffic","이 게임은 기본적으로 도시를 더욱 생동감 있게 느끼게 하기 위해 외부 교통을 추가합니다. 이 옵션은 외부 교통 이동을 차단하여 도시 내 교통을 줄입니다."
"optionWarehouseOverride","전역 설정 재정의"
"",""
"GROUP_OUTSIDE_CONNECTIONS_PANEL","외부 연결 패널"
"listConnectionName","이름"
"listConnectionType","유형"
"listConnectionInOut","In / Out"
"listConnectionUsage","Usage"
"listConnectionGuest","외부 유입 통과 차량 수"
"listConnectionOwn","내 도시의 시민 차량 수"
"listConnectionStuck","갇힘"
"listConnectionCargoPriority","Cargo"
"listConnectionCitizenPriority","Citizens"
"listConnectionImport","가져오기"
"listConnectionExport","내보내기"
"titleOutsideConnectionPanel","외부 연결"
"keyOpenOutsidePanel","외부 연결 패널 열기"
"txtDetectedDistricts","감지된 지역"
"btnDistricts","구역"
"btnDistrict","지구"
"btnPark","영역"
"btnMap","맵"
"txtNone","없음"
"txtVehiclesNone","없음"
"txtStatusNone","없음"
"",""
"GROUP_BUILDINGPANEL_DISTANCE_RESTRICTIONS","거리 제한"
"sliderDistanceRestriction","최대 매칭 거리 (km)"
"sliderDistanceRestrictionTooltip","0 = 제한이 있거나 없는 경우, 글로벌 설정 사용\r\n1+ = 최대 매칭 거리"
"titleDistrictPanel","구역을 선택하세요"
"txtAllowedDistricts","허용된 구역"
"txtBlockedDistricts","차단된 구역"
"txtCurrentDistrict","현재 구역"
"txtCurrentPark","현재 영역"
"txtLoad","적재"
"",""
"GROUP_IMPROVED_SERVICES_MATCHING","개선된 서비스 매칭"
"tabMatches","매치"
"titleTransferStatsPanel","운송 상황 종합 통계"
"sliderOutsideCargoCapacity","화물 수용"
"sliderOutsideResidentCapacity","거주 수용"
"sliderOutsideTouristFactor0","관광객 인자 0"
"sliderOutsideTouristFactor1","관광객 인자 1"
"sliderOutsideTouristFactor2","관광객 인자 2"
"sliderOutsideDummyTrafficFactor","외부진입 교통량을 유발시키는 차량의 종류"
"btnOutsideReset","초기화"
"",""
"GROUP_OUTSIDE_SETTINGS","외부 연결 매개변수"
"",""
"GROUP_BALANCED_MATCH_MODE","균형 잡힌 매치 모드"
"dropdownBalancedTitle","동등한 경우 먼저 매치"
