"Context","Источник/Перевод"
"CODE","ru"
"NAME","Русский"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Управление перевозками"
"tabGeneral","Основное"
"tabWarehouses","Доставка товаров"
"tabServices","Службы"
"DEBUGPROFILE","Custom Transfer Manager"
"optionEnableNewTransferManager","Включить Custom Transfer Manager"
"GROUP_SERVICE_OPTIONS","Настройки служб"
"",""
"GROUP_SERVICE_DISTRICT_OPTIONS","Настройки района"
"optionPreferLocalService","Предпочитать местные районные службы"
"optionPreferLocalService_txt","Дальнейшее улучшение локализации услуг путём сопоставления запросов с низким приоритетом только со служебными зданиями в том же районе (или за пределами любого района). Как только невыполненный запрос становится высокоприоритетным, он будет обслуживаться любой ближайшей службой. Включает: вывоз мусорю, полиция, здравоохранение, техобслуживание, почту, такси."
"txtPreferLocalService","Ограничить услуги местным округам путем удовлетворения приоритетных задач только со служебными помещениями того же района. После того как заказ не будет выполнен, он станет приоритетным, он будет обслуживаться любым предложением близлежащего сервиса."
"txtPreferLocalServiceWarning","Предупреждение: Это мощный вариант, Перед включением этой опции необходимо убедиться, что для каждого из ваших районов созданы определенные районы."
"",""
"GROUP_WAREHOUSE_OPTIONS","Настройки склада"
"optionWarehouseFirst","Сначала предложения со склада"
"optionWarehouseFirst_txt","Этот параметр будет сопоставлять поступающие складские предложения на ранней стадии процесса сопоставления, что приведет к тому, что большинство перемещений товаров будет происходить через склады."
"",""
"txtWarehouseSmartImportExport","This option will apply smarter importing/exporting rules to Balanced mode warehouses, they will now only be able to import up to 1/3rd full and export when fuller than 2/3rds."
"optionWarehouseSmartImportExport","Smarter Warehouse Import / Export"
"",""
"txtImprovedWarehouseMatching","Предложения ванильного склада ограничены приоритетом 2, этот параметр позволит масштабировать их до приоритета 7."
"optionImprovedWarehouseMatching","Улучшенные складские перемещения"
"",""
"txtNewInterWarehouseMatching","Этот параметр позволяет выполнять перемещения между складами с более низким приоритетом, но проверяет уровни хранения, чтобы склады не бесцельно отправляли товары туда и обратно без какой-либо выгоды."
"optionNewWarehouseTransfer","Улучшенная межскладская передача"
"",""
"optionWarehouseReserveTrucks","Резерв грузовых автомобилей склада для местных перевозок"
"optionWarehouseReserveTrucks_txt","Рекомендуется включить с Warehouse First: зарезервируйте процент вместимости складских грузовиков для удовлетворения потребностей города, запретив использование всех грузовиков для экспорта."
"txtNewWarehouseReserveTrucks","Этот параметр понизит приоритет предложения ВНЕ, когда количество оставшихся грузовиков меньше этого процента. Это приводит к резервированию грузовых мощностей для удовлетворения высокоприоритетного местного спроса."
"",""
"GROUP_FACTORY_OPTIONS","Настройки производства"
"optionFactoryFirst","Сначала предложения от производства"
