"Context","Source/Translation"
"CODE","tr"
"NAME","Türkçe"
"TMCE_NAM","Transfer Yöneticisi"
"tabTransferManager","Transfer Manager"
"tabGeneral","Genel"
"tabWarehouses","Ürün Teslimi"
"tabServices","Hizmetler"
"DEBUGPROFILE","Özel Transfer Yöneticisi"
"optionEnableNewTransferManager","Özel Aktarım Yöneticisini Etkinleştir"
"GROUP_SERVICE_OPTIONS","Hizmet Seçenekleri"
"",""
"GROUP_SERVICE_DISTRICT_OPTIONS","Bölge Seçenekleri"
"optionPreferLocalService","Yerel bölge hizmetlerini tercih edin"
"optionPreferLocalService_txt","Düşük öncelikli talepleri yalnızca aynı bölge içindeki (veya herhangi bir bölge dışındaki) hizmet binalarıyla eşleştirerek hizmetlerin yerelliğini daha da iyileştirin. Yerine getirilmemiş bir talep yüksek öncelikli hale geldiğinde, yakındaki herhangi bir hizmet teklifi tarafından sunulacaktır. Etkiler: çöp, polis, sağlık, bakım, posta, taksi."
"txtPreferLocalService","Düşük öncelikli talepleri yalnızca aynı bölgedeki hizmet binalarıyla eşleştirerek hizmetleri yerel bölgelerle sınırlayın. Yerine getirilmemiş bir talep yüksek öncelikli hale geldiğinde, yakındaki herhangi bir hizmet teklifi tarafından sunulmasına izin verilecektir."
"txtPreferLocalServiceWarning","Uyarı: Bu güçlü bir seçenektir, lütfen bu seçeneği etkinleştirmeden önce Alanlarınızın her biri için bölge tanımladığınızdan ve bu bölgelerde hizmetlerin mevcut olduğundan emin olun."
"",""
"GROUP_WAREHOUSE_OPTIONS","Depo Seçenekleri"
"optionWarehouseFirst","Önce Depo Tekliflerini Eşleştirin"
"optionWarehouseFirst_txt","Bu seçenek, gelen depo tekliflerini eşleştirme sürecinin başlarında eşleştirecek ve bu da çoğu mal transferinin depolar aracılığıyla gerçekleşmesine neden olacaktır."
"",""
"txtWarehouseSmartImportExport","This option will apply smarter importing/exporting rules to Balanced mode warehouses, they will now only be able to import up to 1/3rd full and export when fuller than 2/3rds."
"optionWarehouseSmartImportExport","Smarter Warehouse Import / Export"
"",""
