"Context","来源/翻译"
"CODE","zh"
"NAME","简体中文"
"TMCE_NAM","运输管理器"
"tabTransferManager","运输管理"
"tabGeneral","常规选项"
"tabWarehouses","货运"
"tabServices","服务"
"DEBUGPROFILE","自定义运输管理器"
"optionEnableNewTransferManager","启用自定义运输管理器"
"GROUP_SERVICE_OPTIONS","服务选项"
"",""
"GROUP_SERVICE_DISTRICT_OPTIONS","区划选项"
"optionPreferLocalService","优先服务本区划"
"optionPreferLocalService_txt","该机制将通过限定低优先级需求仅匹配同区域（或无归属区域）的服务建筑，从而提升服务本地化效率。当未满足需求升级为高优先级时，则可由任意邻近服务建筑响应。作用范围：垃圾处理、警务、医疗、道路养护、邮政、出租车服务。"
"txtPreferLocalService","该机制将限制服务供给的覆盖范围：低优先级需求仅限匹配同区域的服务建筑。当未满足需求升级为高优先级时，则可突破限制由任意邻近服务建筑响应。"
"txtPreferLocalServiceWarning","警告：此系高风险功能，启用前请务必确保所有区域均已划定行政分区，且各分区内部署有完备服务设施，否则可能引发全城服务瘫痪。"
"",""
"GROUP_WAREHOUSE_OPTIONS","仓库选项"
"optionWarehouseFirst","优先与仓库交易"
"optionWarehouseFirst_txt","该选项将在匹配流程前期优先处理入库货物，这将使绝大多数货物转运都经由仓库枢纽完成。"
"",""
"txtWarehouseSmartImportExport","该选项将为平衡模式仓库启用更智能的进货/出货规则：此后仓库仅允许在仓位≤1/3时进货，并在仓位≥2/3时自动出货。"
"optionWarehouseSmartImportExport","更智能的进货/出货规则"
"",""
"txtImprovedWarehouseMatching","原版仓库匹配优先级最大为2，此选项使最大值提高到7。"
"optionImprovedWarehouseMatching","优化仓库间调货策略"
"",""
"txtNewInterWarehouseMatching","此选项允许仓库间转运以较低优先级进行。仓库间中转货物的可能性被调高，同时仅允许货量少的仓库送货给货量多的，避免出现无意义的货物中转。"
"optionNewWarehouseTransfer","优化仓库间调货策略"
"",""
"optionWarehouseReserveTrucks","预留仓库货运卡车供本地运输使用"
"optionWarehouseReserveTrucks_txt","建议在开启“优先与仓库交易”后同时开启此选项，该选项设置了仓库用于本地运货的卡车比例，这避免仓库的所有卡车均用于出口而没有车可用于本地货运"
"txtNewWarehouseReserveTrucks","当可用卡车数量低于此比例时，此选项将降低对外供货优先级，从而预留运力保障高优先级本地需求。"
"",""
"GROUP_FACTORY_OPTIONS","工厂选项"
"optionFactoryFirst","优先与工厂交易"
"optionFactoryFirstText","在选择进货来源/出货目标时，优先选择工厂，这将保证工厂能够就近进出口货物，从而改善工厂的运作"
"",""
"GROUP_EXPORTIMPORT_OPTIONS","外部连接选项"
"OutsidePriorityDescription","该优先级设置将作用于匹配流程，用以提高或降低外部连接点被匹配到的可能性。"
"txtCargoPriority","货物优先级"
"txtCitizenPriority","市民优先级"
"",""
"GROUP_EXPERIMENTAL_DEATHCARE","殡葬服务/垃圾处理"
"optionDeathcareExperimental","优化殡葬服务运输策略"
"optionGarbageExperimental","优化垃圾处理运输策略"
"optionPoliceExperimental","优化警局运输策略"
"optionImprovedMailTransfers","优化邮件传输策略"
"txtDeathcareExperimental","该选项将改变公墓、垃圾处理厂及警察局的车辆调度机制：游戏默认每次仅派发单台车辆，启用后则按可用车辆总数派发请求，从而提升匹配效率。\r\n同时当使用中车辆小于1/2时，将自动提高该类请求的调度优先级。"
"",""
"GROUP_TRANSFERISSUE_PANEL","运输问题面板"
"keyOpenTransferIssuePanel","打开运输问题面板"
"optionShowIssuesWithVehiclesOnRoute","显示路线上车辆的问题"
"sliderTransferIssueDeleteResolvedDelay","已解决问题被删除前的保留时间"
"",""
"GROUP_STATISTICS_PANEL","统计面板"
"keyOpenStatisticsPanel","打开统计面板"
"StatisticsPanelEnabled","启用统计"
