"Context","Source/Translation"
"CODE","ru"
"NAME","Русский"
"TMCE_NAM","Трансфер Менеджер"
"tabTransferManager","Трансфер Менеджер"
"tabGeneral","Общее"
"tabWarehouses","Склады"
"tabServices","Службы"
"DEBUGPROFILE","Трансфер Менеджер"
"optionEnableNewTransferManager","Включить пользовательский диспетчер передачи"
"GROUP_SERVICE_OPTIONS","Варианты обслуживания"
"optionPreferLocalService","Предпочитаю местные районные службы"
"optionPreferLocalService_txt","Дальнейшее улучшение локализации услуг путем сопоставления запросов с низким приоритетом только с служебными зданиями в том же районе (или за пределами любого района). Как только невыполненный запрос становится высокоприоритетным, он будет обслуживаться любым ближайшим сервисным предложением. Затрагивает: мусор, полиция, здравоохранение, обслуживание, почта, такси."
"GROUP_WAREHOUSE_OPTIONS","Варианты доставки"
"optionWarehouseFirst","Склад Один"
"optionWarehouseFirst_txt","Все поставки товаров (входящие и исходящие) предпочтительно осуществлять через склады, если таковые имеются. Увеличьте трафик склада, чтобы ваши склады были лучше расположены стратегически.
optionWarehouseReserveTrucks	Резерв грузовых автомобилей склада для местных перевозок."
"optionWarehouseReserveTrucks","Резерв грузовых автомобилей склада для местных перевозок"
"optionWarehouseReserveTrucks_txt","Рекомендуется включить с Warehouse First: зарезервируйте 25% вместимости складских грузовиков для удовлетворения потребностей города, предотвращает использование всех грузовиков для экспорта."
"GROUP_EXPORTIMPORT_OPTIONS","Параметры экспорта/импорта"
"GROUP_EXPERIMENTAL_DEATHCARE","Уход за смертью / Мусор"
"optionDeathcareExperimental","Улучшенные переводы ухода за смертью"
"optionGarbageExperimental","Улучшенная передача мусора"
"optionPoliceExperimental","Improved Police Transfers"
"txtDeathcareExperimental","By default Cemeteries, Garbage and Police Stations send out a transfer offer for one vehicle at a time. This option changes the offer to be the number of available vehicles, which can result in improved matching."
"GROUP_TRANSFERISSUE_PANEL","Панель передачи проблем"
"keyOpenTransferIssuePanel","Открыть панель проблем с переносом"
"optionShowIssuesWithVehiclesOnRoute","Показать проблемы с транспортными средствами на маршруте"
"sliderTransferIssueDeleteResolvedDelay","Удалить разрешенную задержку"
"GROUP_STATISTICS_PANEL","Панель статистики"
"keyOpenStatisticsPanel","Открыть панель статистики"
"StatisticsPanelEnabled","Включить статистику"
"btnResetPathingStatistics","Reset Pathing"
"buttonResetTransferStatistics","Сбросить статистику переводов"
"tabBuildingPanelSettings","Настройки"
"GROUP_BUILDINGPANEL_SERVICES","Варианты обслуживания"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","Внешние соединения"
"dropdownBuildingPanelImportExport","Импорт Экспорт"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","Варианты доставки товаров"
