"Context","Source/Translation"
"CODE","ko"
"NAME","한국인"
"TMCE_NAM","전송 관리자"
"tabTransferManager","전송 관리자"
"tabGeneral","일반"
"tabWarehouses","창고"
"tabServices","서비스"
"DEBUGPROFILE","전송 관리자"
"optionEnableNewTransferManager","사용자 지정 전송 관리자 활성화"
"GROUP_SERVICE_OPTIONS","서비스 옵션"
"optionPreferLocalService","지역 서비스를 선호"
"optionPreferLocalService_txt","동일한 구역(또는 구역 외부) 내 서비스 건물에만 낮은 우선순위 요청을 일치시켜 서비스의 지역성을 더욱 향상시킵니다. 충족되지 않은 요청이 우선 순위가 높은 경우 가까운 서비스 제안에서 제공됩니다. 영향: 쓰레기, 경찰, 의료, 유지 보수, 우편, 택시"
"GROUP_WAREHOUSE_OPTIONS","상품 배송 옵션"
"optionWarehouseFirst","창고 우선"
"optionWarehouseFirst_txt","가능한 경우 창고를 통해 모든 상품 배송(인바운드 및 아웃바운드) 을 수행하는 것을 선호합니다. 창고 트래픽이 증가하여 창고가 전략적으로 더 잘 배치됩니다"
"optionWarehouseReserveTrucks","지역 이동을 위한 창고 화물 트럭 예약"
"optionWarehouseReserveTrucks_txt","Warehouse First와 함께 활성화하는 것이 좋습니다. 도시 수요를 충족하기 위해 창고 트럭 용량의 %를 예약하고 모든 트럭이 수출에 사용되는 것을 방지합니다."
"GROUP_EXPORTIMPORT_OPTIONS","내보내기/가져오기 옵션"
"GROUP_EXPERIMENTAL_DEATHCARE","데스 케어/쓰레기"
"optionDeathcareExperimental","향상된 사망 치료 이전"
"optionGarbageExperimental","향상된 쓰레기 이동"
"optionPoliceExperimental","Improved Police Transfers"
"txtDeathcareExperimental","By default Cemeteries, Garbage and Police Stations send out a transfer offer for one vehicle at a time. This option changes the offer to be the number of available vehicles, which can result in improved matching."
"GROUP_TRANSFERISSUE_PANEL","이전 문제 패널"
"keyOpenTransferIssuePanel","전송 문제 패널 열기"
"optionShowIssuesWithVehiclesOnRoute","경로상의 차량 문제 표시"
"sliderTransferIssueDeleteResolvedDelay","해결된 지연 삭제"
"GROUP_STATISTICS_PANEL","통계 패널"
"keyOpenStatisticsPanel","통계 패널 열기"
"StatisticsPanelEnabled","통계 활성화"
"btnResetPathingStatistics","Reset Pathing"
"buttonResetTransferStatistics","전송 통계 재설정"
"tabBuildingPanelSettings","설정"
"GROUP_BUILDINGPANEL_SERVICES","서비스 옵션"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","외부 연결"
"dropdownBuildingPanelImportExport","가져오기/내보내기"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","상품 배송 옵션"
"chkBuildingPanelReserveWarehouseTrucks","지역 이동을 위한 창고 화물 트럭 예약"
"tabBuildingPanelStatus","상태"
"listBuildingPanelStatusColumn1","재질"
"listBuildingPanelStatusColumn2","값"
"listBuildingPanelStatusColumn3","답변인:"
"listBuildingPanelStatusColumn4","기체"
"listBuildingPanelStatusColumn5","타이머"
"tabBuildingPanelTransfers","전송"
"labelBuildingPanelOffers","이적 제안"
"labelBuildingPanelMatchOffers","매치 오퍼"
"listBuildingPanelOffersColumn1","앞/뒤"
"listBuildingPanelOffersColumn2","재질"
"listBuildingPanelOffersColumn3","우선 사항"
"listBuildingPanelOffersColumn4","활성화"
"listBuildingPanelOffersColumn5","양"
"listBuildingPanelOffersColumn6","설명"
"listBuildingPanelMatchesColumn1","시간"
"listBuildingPanelMatchesColumn2","재질"
"listBuildingPanelMatchesColumn3","활성화"
"listBuildingPanelMatchesColumn4","양"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","설명"
"titleTransferIssuesPanel","전송 문제"
"tabTransferIssuesPathing","경로 지정"
"listPathingColumn1","시간"
"listPathingColumn2","소스"
"listPathingColumn3","대상"
"tabTransferIssuesDead","죽음"
"listDeadColumn1","죽음"
"listDeadColumn2","타이머"
"listDeadColumn3","소스"
"listDeadColumn4","대상"
"listDeadColumn5","기체"
"tabTransferIssuesSick","아픔"
"listSickColumn1","아픔"
"listBuildingPanelVehicleTarget","대상"
"dropdownBuildingPanelPreferLocalLabel","지역 제한"
"dropdownBuildingPanelPreferLocal1","모든 지구"
"dropdownBuildingPanelPreferLocal2","지역 내 선호"
"dropdownBuildingPanelPreferLocal3","지구 내에서만"
"dropdownBuildingPanelPreferLocal4","All Districts, Except For"
"tabTransferIssuesOutside","외부"
"GROUP_BUILDING_PANEL","빌딩 패널"
"keyOpenBuildingPanel","건물 패널 열기"
"GROUP_LOCALISATION","지역화"
"dropdownLocalization","언어"
"tabBuildingPanelVehicles","자동차"
"txtBuildingPanelTransferManagerWarning","경고: 이러한 설정을 사용하려면 Custom Transfer Manager를 활성화해야 합니다."
"tabTransferIssuesGoods","Goods In"
"tabTransferIssuesGoodsOut","Goods Out"
"chkShowIssuesWithVehicles","경로상의 차량 문제 표시"
"GROUP_BUILDINGPANEL_DISTRICT","지역 제한"
"dropdownBuildingPanelOutgoingPreferLocalLabel","송신"
"dropdownBuildingPanelIncomingPreferLocalLabel","수신"
"chkAllowImport","가져오기 허용"
"chkAllowExport","가져오기 허용"
"GROUP_BUILDINGPANEL_APPLYTOALL","같은 유형의 모든 건물에 적용"
"tabExperimental","실험적"
"chkDistrictAllowServices","서비스 허용(쓰레기, 화재, 경찰...)"
"GROUP_DISTANCE_LIMITS","거리 제한"
"tabDistanceRestrictions","거리"
"sliderDeathcareDistanceLimits","데스케어 거리 제한(km)"
"sliderHealthcareDistanceLimits","의료 거리 제한(km)"
"sliderGarbageDistanceLimits","쓰레기 거리 제한(km)"
"sliderPoliceDistanceLimits","경찰 거리 제한(km)"
"sliderFireDistanceLimits","발사 거리 제한(km)"
"sliderMailDistanceLimits","메일 거리 제한(km)"
"txtDistanceLimits","최대 허용 일치 거리, 0 = 무제한. 수입/수출은 영향을 받지 않습니다."
"tabVehicleAI","차량 AI"
"GROUP_VEHICLE_AI","차량 AI 활성화/비활성화"
"optionFireTruckAI","소방차"
"optionFireCopterAI","소방헬기"
"optionGarbageTruckAI","쓰레기 트럭"
"optionPoliceCarAI","경찰차"
"optionPoliceCopterAI","경찰헬기"
"txtVehicleAIDescription","VehicleAI는 해결해야 할 문제를 가까이에서 찾도록 차량을 향상시킵니다."
"tabImportExport","가져오기/내보내기"
"GROUP_IMPORT_RESTRICTIONS","가져오기 허용"
"txtImportRestrictions","이러한 리소스를 비활성화하기 전에 내부 프로덕션이 충분한지 확인하십시오."
"sliderWarehouseReservePercent","지역 이동을 위한 예약 트럭(%)"
"sliderWarehouseFirstPercent","지역 이동을 위한 예약 트럭(%)"
"GROUP_DUMMY_TRAFFIC","더미 트래픽"
"optionDummyTraffic","더미 트래픽 비활성화"
"txtDummyTraffic","이 게임은 도시를 더 생동감 있게 만들기 위해 더미 교통을 추가합니다. 이 옵션은 더미 트래픽 전송을 차단하여 도시 내 트래픽을 줄입니다."
"optionWarehouseOverride","전역 설정 재정의"
"listConnectionName","이름"
"listConnectionType","타입"
"listConnectionGuest","자동차"
"listConnectionOwn","자동차"
"listConnectionMultiplier","배율"
"listConnectionImport","가져오기"
"listConnectionExport","내보내기"
"titleOutsideConnectionPanel","외부 연결"
"GROUP_BUILDINGPANEL_OUTSIDE_DISTANCE_MULTIPLIER","외부 거리 승수"
"sliderOutsideDistanceMultiplier","배율"
"sliderOutsideDistanceMultiplierTooltip","0 = Use global setting\r\n1 = No change to distance\r\n10 = 10x Further away"
"OutsideMultiplierDescription1","이러한 승수는 일치 알고리즘에서 계산된 거리에 적용되어 연결이 더 멀리 떨어져 있어 일치 항목으로 선택될 가능성이 줄어듭니다."
"OutsideMultiplierDescription2","1 = 거리 변화 없음"
"OutsideMultiplierDescription3","10 = 10배 더 멀리"
"sliderShipMultiplier","선박 승수"
"sliderPlaneMultiplier","평면 승수"
"sliderTrainMultiplier","훈련 승수"
"sliderRoadMultiplier","도로 승수"
"GROUP_OUTSIDE_CONNECTIONS_PANEL","외부 연결 패널"
"keyOpenOutsidePanel","외부 연결 패널 열기"
"optionNewWarehouseTransfer","창고간 이동 개선"
"txtNewInterWarehouseMatching","이 옵션을 사용하면 창고 간 이동이 더 낮은 우선순위로 수행될 수 있지만 창고가 아무 이익도 없이 목적 없이 물건을 앞뒤로 보내지 않도록 보관 수준을 확인합니다."
"txtDetectedDistricts","감지된 지역"
"btnDistricts","Districts"
"btnDistrict","구역"
"btnPark","공원/산업"
"btnMap","지도"
"txtNone","없음"
"txtVehiclesNone","None"
"txtStatusNone","None"
"GROUP_BUILDINGPANEL_DISTANCE_RESTRICTIONS","Distance Restrictions"
"sliderDistanceRestriction","Maximum Match Distance (km)"
"sliderDistanceRestrictionTooltip","0 = Use global setting, if any or no restriction.\r\n1+ = Maximum match distance"
"titleDistrictPanel","Select Districts"
"txtAllowedDistricts","Allowed Districts"
"txtBlockedDistricts","Blocked Districts"
"txtCurrentDistrict","Current District"
"txtCurrentPark","Current Park"
"txtLoad","Load"
"GROUP_IMPROVED_SERVICES_MATCHING","Improved Service Matching"
"tabMatches","Matches"
"titleTransferStatsPanel","Transfer Manager Statistics"
"sliderOutsideCargoCapacity","Cargo Capacity"
"sliderOutsideResidentCapacity","Resident Capacity"
"sliderOutsideTouristFactor0","Tourist Factor 0"
"sliderOutsideTouristFactor1","Tourist Factor 1"
"sliderOutsideTouristFactor2","Tourist Factor 2"
"sliderOutsideDummyTrafficFactor","Dummy Traffic Factor"
"btnOutsideReset","Reset"
"GROUP_OUTSIDE_SETTINGS","Outside Connection Parameters"
"GROUP_BALANCED_MATCH_MODE","Balanced Match Mode"
"dropdownBalancedTitle","Match First When Equal"
"dropdownBalancedModeIncomingFirst","Match Incoming First (Vanilla)"
"dropdownBalancedModeLeastFirst","Match Least Offers First"
"dropdownBalancedModePassiveFirst","Match Passive First"
"txtBalancedMatch","Choose which offer to match first when incoming and outging offers have the same priority."
"GROUP_PATH_DISTANCE","Match Distance Algorithm"
"optionPathDistanceServices","Use Path Distance for Services"
"optionPathDistanceGoods","Use Path Distance for Goods"
"txtPathDistance","Use path distance instead of line of sight distance. This will result in better matches where your network or geography is complex but is slower so please ensure your computer is fast enough for this option."
"optionHighlightMatches","Highlight Matches"
"listBuildingPanelOffersPark","Park"
"tabTransferRoadAccess","No Road Access"
"btnResetRoadAccess","Reset Road Access"
"tabGame","Game"
"btnDeleteVehicle","Delete vehicle"
"tabMaintenance","Maintenance"
"GROUP_Maintenance","Maintenance"
"btnReleaseGhostVehicles","Release Ghost Vehicles"
"txtReleaseGhostVehicles","Look for vehicles that are stuck or without valid positions or status and release them."
"btnReleaseBrokenPathing","Release Broken Pathing"
"txtBrokenPathUnits","Find path units that have not been released correctly but are not used and release them properly."
"txtGhostVehiclesCount","Ghost Vehicles Released"


