"Context","Source/Translation"
"CODE","es"
"NAME","Español"
"TMCE_NAM","Administrador de transferencias"
"tabTransferManager","Administrador de transferencias"
"tabGeneral","General"
"tabWarehouses","Goods Delivery"
"tabServices","Servicios"
"DEBUGPROFILE","Administrador de transferencia personalizado"
"optionEnableNewTransferManager","Habilitar el administrador de transferencia personalizado"
"GROUP_SERVICE_OPTIONS","Opciones de servicio"
"optionPreferLocalService","Preferir dentro de los servicios del distrito"
"optionPreferLocalService_txt","Mejore aún más la localidad de los servicios haciendo coincidir las solicitudes de baja prioridad solo con edificios de servicios dentro del mismo distrito (o fuera de cualquier distrito). Una vez que una solicitud insatisfecha se convierte en alta prioridad, será atendida por cualquier oferta de servicio cercana. Afecta: basura, policía, sanidad, mantenimiento, correo, taxi."
"GROUP_WAREHOUSE_OPTIONS","Warehouse Options"
"optionWarehouseFirst","Match Warehouse Offers First"
"optionWarehouseFirst_txt","This option will match incoming warehouse offers early in the matching process which will result in most goods transfers occurring through warehouses."
"optionWarehouseReserveTrucks","Almacén de reserva de camiones de carga para traslados locales"
"optionWarehouseReserveTrucks_txt","Se recomienda habilitar con Warehouse First: reserva un porcentaje de la capacidad de los camiones del almacén para satisfacer la demanda de la ciudad, evita que todos los camiones se utilicen para la exportación."
"txtNewWarehouseReserveTrucks","This option will lower the OUT offer priority when the remaining truck count is less than this percentage. Which has the effect of reserving truck capacity for satisfying high priority local demand."
"optionNewWarehouseTransfer","Transferencia mejorada entre almacenes"
"txtNewInterWarehouseMatching","Esta opción permite que las transferencias entre almacenes se realicen con prioridades más bajas, pero verifica los niveles de almacenamiento para garantizar que los almacenes no envíen mercancías de un lado a otro sin ningún beneficio."
"GROUP_FACTORY_OPTIONS","Factory Options"
"optionFactoryFirst","Match Factory Offers First"
"optionFactoryFirstText","This option will match incoming factory offers early in the matching process to ensure factories are matched with the closest available offer for improved operation."
"GROUP_EXPORTIMPORT_OPTIONS","Opciones de exportación/importación"
"GROUP_EXPERIMENTAL_DEATHCARE","Cuidado de la muerte/Basura"
"optionDeathcareExperimental","Transferencias mejoradas de atención de la muerte"
"optionGarbageExperimental","Transferencias de basura mejoradas"
"optionPoliceExperimental","Transferencias Policiales Mejoradas"
"txtDeathcareExperimental","By default Cemeteries, Garbage and Police Stations send out a transfer offer for one vehicle at a time. This option changes the offer to be the number of available vehicles, which can result in improved matching.\r\nIt now also increases offer priority when less than 1/2 of vehicles are in use."
"GROUP_TRANSFERISSUE_PANEL","Panel de problemas de transferencia"
"keyOpenTransferIssuePanel","Abrir panel de problemas de transferencia"
