"Context","Source/Translation"
"CODE","fr"
"NAME","Français"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Transfer Manager"
"tabGeneral","Général"
"tabWarehouses","Livraison des marchandises"
"tabServices","Services"
"DEBUGPROFILE","Transfer Manager Personnalisé"
"optionEnableNewTransferManager","Activer Transfer Manager Personnalisé"
"GROUP_SERVICE_OPTIONS","Options des services"
"GROUP_SERVICE_DISTRICT_OPTIONS","District Options"
"optionPreferLocalService","Préférer les services du quartier"
"optionPreferLocalService_txt","Améliore les services en traitant les demandes de faible priorité uniquement avec les bâtiments situés dans le même quartier (ou hors quartier). Dès qu'une demande non satisfaite devient une haute priorité, elle sera prise en charge par tout service à proximité. Affecte : les ordures, la police, les services de santé, la maintenance, le courrier, les taxis."
"txtPreferLocalService","Restrict services to local districts by matching low priority requests only with service buildings within the same district. Once an unfulfilled request becomes high priority, it will be allowed to be served by any nearby service offer."
"txtPreferLocalServiceWarning","Warning: This is a powerful option, please ensure you have defined districts for each of your areas and have services available within these districts before enabling this option."
"GROUP_WAREHOUSE_OPTIONS","Options de l'entrepôt"
"optionWarehouseFirst","Faire correspondre les offres de l'entrepôt en premier"
"optionWarehouseFirst_txt","Cette option correspondra aux offres d'entrepôt entrant au début du processus de correspondance, ce qui se traduira par le transfert de la plupart des marchandises par l'entrepôt."
"optionWarehouseReserveTrucks","Réserver les camions de marchandises de l'entrepôt pour les transferts locaux"
"optionWarehouseReserveTrucks_txt","Il est conseillé de l'activer avec L'entrepôt en Premier : permet de réserver un pourcentage de la capacité des camions pour satisfaire les demandes de la ville, cela empêche l'utilisation de tous les camions pour l'export."
"txtNewWarehouseReserveTrucks","Cette option réduira la priorité de l'offre OUT lorsque le nombre de camions restant est inférieur à ce pourcentage. Ce qui a pour effet de réserver la capacité des camions pour satisfaire une demande locale hautement prioritaire."
"optionNewWarehouseTransfer","Amélioration du transfert entre entrepôts"
"txtNewInterWarehouseMatching","Cette option permet d'effectuer des transferts entre entrepôts, mais surveille les stocks afin que les entrepôts n'envoient pas de marchandises dans un sens ou dans l'autre inutilement."
"GROUP_FACTORY_OPTIONS","Options d'usine"
"optionFactoryFirst","Faire correspondre les offres d'usine en premier"
"optionFactoryFirstText","Cette option correspondra aux offres d'usine entrantes au début du processus de mise en correspondance pour garantir que les usines sont mises en correspondance avec l'offre disponible la plus proche pour un fonctionnement amélioré."
"GROUP_EXPORTIMPORT_OPTIONS","Connexions extérieures"
"GROUP_EXPERIMENTAL_DEATHCARE","Service mortuaire/ordures"
"optionDeathcareExperimental","Amélioration des transferts des Services mortuaire"
"optionGarbageExperimental","Amélioration du ramassage des ordures"
"optionPoliceExperimental","Amélioration des services de police"
"optionImprovedMailTransfers","Improved Mail Transfers"
"txtDeathcareExperimental","Par défaut, les cimetières et les commissariats de police envoient une offre de transfert pour un véhicule à la fois. Cette option modifie l'offre pour être le nombre de véhicules disponibles, ce qui peut améliorer l'appariement des véhicules.\r\nCela augmente maintenant aussi l'offre de priorité lorsque moins de 1/2 des véhicules sont en cours d'utilisation."
"GROUP_TRANSFERISSUE_PANEL","Aperçu des Problèmes"
"keyOpenTransferIssuePanel","Ouvrir l'Aperçu des Problèmes"
"optionShowIssuesWithVehiclesOnRoute","Afficher les problèmes d'itinéraire des véhicules"
"sliderTransferIssueDeleteResolvedDelay","Attendre la suppression des problèmes résolus"
"GROUP_STATISTICS_PANEL","Panneau des stats"
"keyOpenStatisticsPanel","Ouvrir le Panneau des stats"
