"Context","Source/Translation"
"CODE","nl"
"NAME","Nederlands"
"TMCE_NAM","Transfer Manager"
"tabTransferManager","Transfer Manager"
"tabGeneral","Algemeen"
"tabWarehouses","Goederen Levering"
"tabServices","Diensten"
"DEBUGPROFILE","Aangepaste Transfermanager"
"optionEnableNewTransferManager","Aangepaste Transfermanager inschakelen"
"GROUP_SERVICE_OPTIONS","Diensten opties"
"GROUP_SERVICE_DISTRICT_OPTIONS","District Options"
"optionPreferLocalService","Voorkeur voor diensten binnen district"
"optionPreferLocalService_txt","De dienstverlening verder verbeteren door verzoeken met lage prioriteit alleen toe te wijzen aan dienstgebouwen in hetzelfde district (of buiten elk ander district). Zodra een verzoek een hoge prioriteit krijgt, zal het ook worden doorgestuurd naar gebouwen buiten het eigen district. Beïnvloedt: afval, politie, gezondheidszorg, onderhoud, post, taxi."
"txtPreferLocalService","Restrict services to local districts by matching low priority requests only with service buildings within the same district. Once an unfulfilled request becomes high priority, it will be allowed to be served by any nearby service offer."
"txtPreferLocalServiceWarning","Warning: This is a powerful option, please ensure you have defined districts for each of your areas and have services available within these districts before enabling this option."
"GROUP_WAREHOUSE_OPTIONS","Magazijn Opties"
"optionWarehouseFirst","Magazijnaanbiedingen eerst toewijzen"
"optionWarehouseFirst_txt","Deze optie wijst inkomende magazijnaanbiedingen vroeg in het toewijzingsproces toe, hierdoor zullen de meeste goederen via de magazijnen worden vervoerd."
"optionWarehouseReserveTrucks","Reserveer magazijn vrachtwagens voor lokale overdrachten"
"optionWarehouseReserveTrucks_txt","Aanbevolen indien de optie ""Magazijn Eerst"" is geactiveerd: reserveer een % van de vrachtwagens van een magazijn om verzoeken uit de stad te bedienen, voorkomt dat alle vrachtwagens voor export worden gebruikt."
"txtNewWarehouseReserveTrucks","This option will lower the OUT offer priority when the remaining truck count is less than this percentage. Which has the effect of reserving truck capacity for satisfying high priority local demand."
"optionNewWarehouseTransfer","Verbeterde transport tussen magazijnen"
"txtNewInterWarehouseMatching","Met deze optie kunnen overdrachten tussen magazijnen plaatsvinden met lagere prioriteiten, maar worden de opslagniveaus gecontroleerd om ervoor te zorgen dat magazijnen niet doelloos goederen heen en weer sturen zonder enig voordeel."
"GROUP_FACTORY_OPTIONS","Fabrieksopties"
"optionFactoryFirst","Fabrieksopties eerst toewijzen"
"optionFactoryFirstText","Deze optie zal inkomende aanbiedingen van fabrieken vroeg toewijzen in het proces zodat fabrieken worden gekoppeld aan de dichtstbijzijnde beschikbare aanbieding voor een betere werking."
"GROUP_EXPORTIMPORT_OPTIONS","Opties voor exporteren/importeren"
"GROUP_EXPERIMENTAL_DEATHCARE","Uitvaartverzorging/ Vuilnis"
"optionDeathcareExperimental","Verbeterd transport van overledenen"
"optionGarbageExperimental","Verbeterd transport van afval"
"optionPoliceExperimental","Verbeterde overdrachten bij politiediensten"
"optionImprovedMailTransfers","Improved Mail Transfers"
"txtDeathcareExperimental","Standaard sturen begraafplaatsen, afvalcentra en politiebureaus een overdrachtsaanbod voor één voertuig per keer uit. Deze optie veranderd het aanbod naar het aantal beschikbare voertuigen. Dit kan de effectiviteit van de diensten verbeteren.\r\nlt verhoogd nu ook de prioriteit van de aanbieding wanneer minder dan de helft van de voertuigen in gebruik zijn."
"GROUP_TRANSFERISSUE_PANEL","Probleemoverzicht Overdrachten"
"keyOpenTransferIssuePanel","Open Probleemoverzicht Overdrachten"
"optionShowIssuesWithVehiclesOnRoute","Toon problemen met voertuigen die onderweg zijn"
"sliderTransferIssueDeleteResolvedDelay","Vertraging voor verwijderen van opgeloste problemen"
"GROUP_STATISTICS_PANEL","Statistiekvenster"
"keyOpenStatisticsPanel","Open statistiekvenster"
"StatisticsPanelEnabled","Statistieken inschakelen"
"btnResetTransferManagerSettings","Reset All Transfer Manager Settings"
"btnResetPathingStatistics","Herstel routering"
"buttonResetTransferStatistics","Herstel Overdrachtstatistieken"
"tabBuildingPanelSettings","Instellingen"
"GROUP_BUILDINGPANEL_SERVICES","Diensten opties"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","Uitgaande verbindingen"
"dropdownBuildingPanelImportExport","Import/Export"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","Leveringsopties Goederen"
"chkBuildingPanelReserveWarehouseTrucks","Vrachtwagens van magazijnen reserveren voor verzoeken uit de stad"
"tabBuildingPanelStatus","Status"
"listBuildingPanelStatusColumn1","Materiaal"
"listBuildingPanelStatusColumn2","Waarde"
"listBuildingPanelStatusColumn3","Respondent"
"listBuildingPanelStatusColumn4","Voertuig"
"listBuildingPanelStatusColumn5","Timer"
"tabBuildingPanelTransfers","Overdrachten"
"labelBuildingPanelOffers","Transfer Aanbod"
"labelBuildingPanelMatchOffers","Overeenkomsten"
"listBuildingPanelOffersColumn1","In/Uit"
"listBuildingPanelOffersColumn2","Materiaal"
"listBuildingPanelOffersColumn3","Prioriteit"
"listBuildingPanelOffersColumn4","Actief"
"listBuildingPanelOffersColumn5","Aantal"
"listBuildingPanelOffersColumn6","Beschrijving"
"listBuildingPanelMatchesColumn1","Tijd"
"listBuildingPanelMatchesColumn2","Materiaal"
"listBuildingPanelMatchesColumn3","Actief"
"listBuildingPanelMatchesColumn4","Aantal"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","Beschrijving"
"titleTransferIssuesPanel","Transferproblemen"
"tabTransferIssuesPathing","Routering"
"listPathingColumn1","Tijd"
"listPathingColumn2","Bron"
"listPathingColumn3","Doel"
"tabTransferIssuesDead","Overleden"
"listDeadColumn1","Overleden"
"listDeadColumn2","Timer"
"listDeadColumn3","Bron"
"listDeadColumn4","Doel"
"listDeadColumn5","Voertuig"
"tabTransferIssuesSick","Ziek"
"listSickColumn1","Ziek"
"listBuildingPanelVehicleTarget","Doel"
"dropdownBuildingPanelPreferLocalLabel","District Beperkingen"
"dropdownBuildingPanelPreferLocal1","Alle Districten"
"dropdownBuildingPanelPreferLocal2","Voorkeur Binnen District"
"dropdownBuildingPanelPreferLocal3","Enkel Binnen District"
"dropdownBuildingPanelPreferLocal4","Alle districten, behalve"
"tabTransferIssuesOutside","Uitgaand"
"GROUP_BUILDING_PANEL","Gebouw Venster"
"keyOpenBuildingPanel","Gebouwevenster Openen"
"GROUP_LOCALISATION","Regionale instellingen"
"dropdownLocalization","Taal"
"tabBuildingPanelVehicles","Voertuigen"
"txtBuildingPanelTransferManagerWarning","Let op: Deze instellingen vereisen dat Aangepaste Transfermanager is ingeschakeld."
"tabTransferIssuesGoods","Goederen in"
"tabTransferIssuesGoodsOut","Goederen uit"
"chkShowIssuesWithVehicles","Toon problemen met voertuigen die onderweg zijn"
"GROUP_BUILDINGPANEL_DISTRICT","District Beperkingen"
"dropdownBuildingPanelOutgoingPreferLocalLabel","Uitgaand"
"dropdownBuildingPanelIncomingPreferLocalLabel","Inkomend"
"chkAllowImport","Import Toestaan"
"chkAllowExport","Export Toestaan"
"GROUP_BUILDINGPANEL_APPLYTOALL","Toepassen op alle gebouwen van dit type"
"tabExperimental","Experimenteel"
"chkDistrictAllowServices","Diensten toestaan (vuilnis, brandweer, politie...)"
"GROUP_DISTANCE_LIMITS","Afstandslimieten"
"tabDistanceRestrictions","Afstand"
"sliderDeathcareDistanceLimits","Afstandslimiet voor uitvaartdienst (km)"
"sliderHealthcareDistanceLimits","Afstandslimiet voor gezondheidszorg (km)"
"sliderGarbageDistanceLimits","Afstandslimiet voor vuilnis (km)"
"sliderPoliceDistanceLimits","Afstandslimiet voor politie (km)"
"sliderFireDistanceLimits","Afstandslimiet voor brandweer (km)"
"sliderMailDistanceLimits","Afstandslimiet voor post (km)"
"txtDistanceLimits","Maximaal toegestane afstand, 0 = Onbeperkt. Import/Export wordt niet beïnvloed."
