"Context","Source/Translation"
"CODE","PT-BR"
"NAME","Português (Brasil)"
"TMCE_NAM","Gerenciador de Transferências"
"tabTransferManager","Gerenciador de Transferências"
"tabGeneral","Geral"
"tabWarehouses","Entrega de Mercadorias"
"tabServices","Serviços"
"DEBUGPROFILE","Gerenciador de Transferências Personalizadas"
"optionEnableNewTransferManager","Habilitar Gerenciador de Transferências Personalizadas"
"GROUP_SERVICE_OPTIONS","Opções de Serviço"
"GROUP_SERVICE_DISTRICT_OPTIONS","Opções de Distrito"
"optionPreferLocalService","Preferir serviços no distrito local"
"optionPreferLocalService_txt","Melhora ainda mais os serviços locais, relacionando as requisições de baixa prioridade somente com serviços dentro do mesmo distrito (ou fora de qualquer distrito). Se uma requisição se tornar de alta prioridade, ela será atendida por qualquer serviço, independente do distrito que está. Afeta: lixo, polícia, saúde, manutenção, correio e taxi."
"txtPreferLocalService","Restrinja os serviços aos distritos locais, relacionando as solicitações de baixa prioridade apenas com edifícios de serviço no mesmo distrito. Caso uma solicitação não atendida se torne de alta prioridade, ela poderá ser atendida por qualquer oferta de serviço próxima."
"txtPreferLocalServiceWarning","Aviso: esta é uma opção poderosa, certifique-se de ter definido distritos para cada uma de suas áreas e ter serviços disponíveis dentro desses distritos antes de ativar esta opção."
"GROUP_WAREHOUSE_OPTIONS","Opções de Armazém"
"optionWarehouseFirst","Corresponder as ofertas do Armazém Primeiro"
"optionWarehouseFirst_txt","Esta opção combinará às ofertas recebidas do armazém no início do processo de co-relação, o que resultará na maioria das transferências de mercadorias ocorrendo através dos armazéns."
"optionWarehouseReserveTrucks","Reserva caminhões de armazéns para transferências locais"
"optionWarehouseReserveTrucks_txt","Recomendado para habilitar com Warehouse First: reserve uma % da capacidade do caminhão do armazém para satisfazer a demanda da cidade, evita que todos os caminhões sejam usados ​​para exportação."
"txtNewWarehouseReserveTrucks","Esta opção irá diminuir a prioridade das ofertas de saída, quando a contagem de caminhões restantes é menor que esta percentagem. O que tem o efeito de reservar alguns caminhões para satisfazer prioritariamente a alta demanda local."
"optionNewWarehouseTransfer","Transferência entre armazéns melhorada"
"txtNewInterWarehouseMatching","Essa opção permite que as transferências entre depósitos ocorram em prioridades mais baixas, mas verifica os níveis de armazenamento para garantir que os depósitos não enviem mercadorias de um lado para o outro sem nenhum benefício."
"GROUP_FACTORY_OPTIONS","Opções de Fábrica"
"optionFactoryFirst","Corresponder as Ofertas das Fábricas Primeiro"
"optionFactoryFirstText","Esta opção irá relacionar as ofertas de fábricas recebidas mais cedo no processo, e garantir que as mesmas serão correspondidas primeiro com a oferta mais perto disponível para uma melhor operação."
"GROUP_EXPORTIMPORT_OPTIONS","Opções de Importação/Exportação"
"GROUP_EXPERIMENTAL_DEATHCARE","Cuidados com a Morte/Lixo"
"optionDeathcareExperimental","Transferências aprimoradas de cuidados com a morte"
"optionGarbageExperimental","Transferências de lixo aprimoradas"
"optionPoliceExperimental","Transferências de polícia aprimoradas"
"optionImprovedMailTransfers","Transferências de Correio Melhoradas"
"txtDeathcareExperimental","Por padrão Cemitérios, Aterros Sanitários e Departamentos de Polícia enviam pedidos de transferências para um veículo de cada vez. Esta opção muda o número de pedidos em função do número de veículos disponíveis, o que pode originar um correspondência melhor.\r\nTambém aumentará a prioridade dos pedidos quando menos da metade dos veículos estão em uso."
"GROUP_TRANSFERISSUE_PANEL","Painel de problemas de transferência"
"keyOpenTransferIssuePanel","Abrir o painel de problemas de transferência"
"optionShowIssuesWithVehiclesOnRoute","Mostrar problemas com veículos na rota"
"sliderTransferIssueDeleteResolvedDelay","Excluir atraso resolvido"
"GROUP_STATISTICS_PANEL","Painel de Estatísticas"
"keyOpenStatisticsPanel","Abrir painel de estatísticas"
"StatisticsPanelEnabled","Ativar estatísticas"
"btnResetTransferManagerSettings","Redefinir Todas as Configurações do Gerenciador de Transferências"
"btnResetPathingStatistics","Redefinir Caminhos"
"buttonResetTransferStatistics","Redefinir estatísticas de transferência"
"tabBuildingPanelSettings","Configurações"
"GROUP_BUILDINGPANEL_SERVICES","Opções de Serviço"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","Bordas externas"
"dropdownBuildingPanelImportExport","Importar/Exportar"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","Opções de Entrega de Produtos"
"chkBuildingPanelReserveWarehouseTrucks","Reserva caminhões de armazéns para transferências locais"
"tabBuildingPanelStatus","Situação"
"listBuildingPanelStatusColumn1","Material"
"listBuildingPanelStatusColumn2","Valor"
"listBuildingPanelStatusColumn3","Respondente"
"listBuildingPanelStatusColumn4","Veículo"
"listBuildingPanelStatusColumn5","Cronômetro"
"tabBuildingPanelTransfers","Transferências"
"labelBuildingPanelOffers","Ofertas de transferência"
"labelBuildingPanelMatchOffers","Correspondências"
"listBuildingPanelOffersColumn1","Entrada/Saída"
"listBuildingPanelOffersColumn2","Material"
"listBuildingPanelOffersColumn3","Prioridade"
"listBuildingPanelOffersColumn4","Ativo"
"listBuildingPanelOffersColumn5","Quantidade"
"listBuildingPanelOffersColumn6","Descrição"
"listBuildingPanelMatchesColumn1","Tempo"
"listBuildingPanelMatchesColumn2","Material"
"listBuildingPanelMatchesColumn3","Ativo"
"listBuildingPanelMatchesColumn4","Quantidade"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","Descrição"
"titleTransferIssuesPanel","Transferir problema"
"tabTransferIssuesPathing","Caminho"
"listPathingColumn1","Tempo"
"listPathingColumn2","Fonte"
"listPathingColumn3","Destino"
"tabTransferIssuesDead","Morto"
"listDeadColumn1","Morto"
"listDeadColumn2","Cronômetro"
"listDeadColumn3","Fonte"
"listDeadColumn4","Destino"
"listDeadColumn5","Veículo"
"tabTransferIssuesSick","Doente"
"listSickColumn1","Doente"
"listBuildingPanelVehicleTarget","Destino"
"dropdownBuildingPanelPreferLocalLabel","Restrições de Distrito"
"dropdownBuildingPanelPreferLocal1","Todos os distritos"
"dropdownBuildingPanelPreferLocal2","Prefira dentro do distrito"
"dropdownBuildingPanelPreferLocal3","Apenas dentro do distrito"
"dropdownBuildingPanelPreferLocal4","Todos os distritos, exceto por"
"tabTransferIssuesOutside","Fora"
"GROUP_BUILDING_PANEL","Prédio painel"
"keyOpenBuildingPanel","Abrir painel de Prédio"
"GROUP_LOCALISATION","Localização"
