"Context","Source/Translation"
"CODE","el"
"NAME","Αγγλικά"
"TMCE_NAM","Διαχειριστής Μεταφορών"
"tabTransferManager","Διαχειριστής Μεταφορών"
"tabGeneral","Γενικά"
"tabWarehouses","Αποστολή Αγαθών"
"tabServices","Υπηρεσίες"
"DEBUGPROFILE","Προσαρμοσμένος Διαχειριστής Μεταφορών"
"optionEnableNewTransferManager","Ενεργοποίηση Προσαρμοσμένου Διαχειριστή Μεταφορών"
"GROUP_SERVICE_OPTIONS","Επιλογές Υπηρεσιών"
"GROUP_SERVICE_DISTRICT_OPTIONS","Επιλογές Περιφέρειας"
"optionPreferLocalService","Προτίμηση τοπικών περιφερειακών υπηρεσιών"
"optionPreferLocalService_txt","Περαιτέρω βελτίωση της τοποθεσίας των υπηρεσιών με την αντιστοίχιση αιτημάτων χαμηλής προτεραιότητας μόνο με κτίρια υπηρεσιών εντός της ίδιας περιφέρειας (ή εκτός οποιασδήποτε περιοχής). Μόλις ένα ανεκπλήρωτο αίτημα γίνει υψηλή προτεραιότητα, θα εξυπηρετείται από οποιαδήποτε προσφορά της κοντινής υπηρεσίας, όμως. Επηρεάζει: σκουπίδια, αστυνομία, υγειονομική περίθαλψη, συντήρηση, ταχυδρομείο, ταξί."
"txtPreferLocalService","Περιορίστε τις υπηρεσίες στις τοπικές περιοχές ταιριάζοντας τις αιτήσεις χαμηλής προτεραιότητας μόνο με τα κτίρια υπηρεσιών στην ίδια περιοχή. Μόλις ένα ανεκπλήρωτο αίτημα γίνει υψηλή προτεραιότητα, θα επιτρέπεται να εξυπηρετείται από οποιαδήποτε προσφορά υπηρεσιών σε κοντινή απόσταση."
"txtPreferLocalServiceWarning","Προειδοποίηση: Αυτή είναι μια ισχυρή επιλογή, παρακαλώ βεβαιωθείτε ότι έχετε καθορισμένες περιοχές για κάθε μια από τις περιοχές σας και να έχουν διαθέσιμες υπηρεσίες σε αυτές τις περιοχές πριν ενεργοποιήσετε αυτή την επιλογή."
"GROUP_WAREHOUSE_OPTIONS","Επιλογές Αποθήκης"
"optionWarehouseFirst","Match Warehouse Offers First"
"optionWarehouseFirst_txt","This option will match incoming warehouse offers early in the matching process which will result in most goods transfers occurring through warehouses."
"optionWarehouseReserveTrucks","Reserve warehouse cargo trucks for local transfers"
"optionWarehouseReserveTrucks_txt","Συνιστάται να ενεργοποιήσετε με την Αποθήκη Πρώτον: εξασφαλιστε ένα ποσοστό χωρητικότητας της αποθήκης φορτηγών για την ικανοποίηση της ζήτησης της πόλης, αποτρέποντας όλα τα φορτηγά που χρησιμοποιούνται για εξαγωγή."
"txtNewWarehouseReserveTrucks","Αυτή η επιλογή θα μειώσει την προτεραιότητα προσφοράς όταν ο αριθμός των υπόλοιπων φορτηγών είναι μικρότερος από αυτό το ποσοστό. Το οποίο έχει ως αποτέλεσμα την κράτηση χωρητικότητας φορτηγών για την ικανοποίηση τοπικής ζήτησης υψηλής προτεραιότητας."
"optionNewWarehouseTransfer","Βελτιωμένη Μεταφορά Εσωτερικής Αποθήκης"
"txtNewInterWarehouseMatching","Αυτή η επιλογή επιτρέπει τη μεταφορά μεταξύ των αποθηκών να συμβεί σε χαμηλότερες προτεραιότητες, αλλά ελέγχει τα επίπεδα αποθήκευσης για να εξασφαλίσει οτι οι αποθήκες δεν στέλνουν άσκοπα αγαθά πίσω και εμπρός για κανένα όφελος."
"GROUP_FACTORY_OPTIONS","Επιλογές Εργοστασίου"
"optionFactoryFirst","Αντιστοίχιση Εργοστασίων Προσφορών Πρώτα"
"optionFactoryFirstText","Αυτή η επιλογή θα ταιριάζει με τις εισερχόμενες εργοστασιακές προσφορές νωρίς στη διαδικασία αντιστοίχισης για να εξασφαλίσει ότι τα εργοστάσια ταιριάζουν με την πλησιέστερη διαθέσιμη προσφορά για βελτιωμένη λειτουργία."
"GROUP_EXPORTIMPORT_OPTIONS","Επιλογές Εξωτερικής Σύνδεσης"
"GROUP_EXPERIMENTAL_DEATHCARE","Μεταφορά Νεκρών/Σκουπιδιών"
"optionDeathcareExperimental","Βελτιωμένη Μεταφορά Νεκρών"
"optionGarbageExperimental","Βελτιωμένη Μεταφορά Σκουπιδιών"
"optionPoliceExperimental","Βελτιωμένες Μεταφορές Αστυνομίας"
