"Context","Source/Translation"
"CODE","pl"
"NAME","Polski"
"TMCE_NAM","Menedżer transferu"
"tabTransferManager","Menedżer transferu"
"tabGeneral","Ogólne"
"tabWarehouses","Ciężarówki"
"tabServices","Usługi"
"DEBUGPROFILE","Własne ustawienia Transfer Manager"
"optionEnableNewTransferManager","Włącz własne ustawienia Transfer Manager"
"GROUP_SERVICE_OPTIONS","Opcje usługi"
"GROUP_SERVICE_DISTRICT_OPTIONS","Opcje dzielnic"
"optionPreferLocalService","Preferuj usługi lokalne"
"optionPreferLocalService_txt","Poprawa usług lokalnych poprzez dopasowywanie żądań o niskim priorytecie tylko do budynków usługowych w tej samej dzielnicy (lub w jakichkolwiek dzielnicach). Gdy niespełnione żądania osiągną wysoki priorytet, zostaną one obsłużone przez pobliskie usługi. Dotyczy to: śmieci, policji, opieki zdrowotnej, czyszczenia miasta, poczty, taxi."
"txtPreferLocalService","Ogranicz usługi do dzielnic lokalnych przez łączenie próśb z niskim priorytetem z budynkami w tej samej dzielnicy. Kiedy prośba stanie się wysokim priorytetem, będzie miała pozwolenie skorzystać z oferty pobliskich usług."
"txtPreferLocalServiceWarning","Ostrzeżenie: Jest to potężna opcja, upewnij się, że określiłeś dzielnice dla każdego z twoich obszarów i posiadasz usługi dostępne w tych dzielnicach, zanim włączysz tę opcję."
"GROUP_WAREHOUSE_OPTIONS","Opcje magazynu"
"optionWarehouseFirst","Dopasuj prośby z magazynów jako pierwsze"
"optionWarehouseFirst_txt","Ta opcja dopasuje prośby z magazynów na wczesnym etapie dopasowywania, co skutkuje w transferze towarów między magazynami."
"optionWarehouseReserveTrucks","Zarezerwuj ciężarówki z magazynu dla transportu lokalnego"
"optionWarehouseReserveTrucks_txt","Zalecane do włączenia z Najpierw magazyn: zarezerwowanie procentowego udziału ciężarówek w magazynie do zaspokojenia potrzeb miasta, blokuje to używanie wszystkich ciężarówek do eksportu."
"txtNewWarehouseReserveTrucks","This option will lower the OUT offer priority when the remaining truck count is less than this percentage. Which has the effect of reserving truck capacity for satisfying high priority local demand."
"optionNewWarehouseTransfer","Ulepszony transport między magazynami"
"txtNewInterWarehouseMatching","Ta opcja pozwala na dokonywanie transportu między magazynami przy niższych priorytetach, ale sprawdza poziom wypełnienia magazynu, aby zagwarantować, że nie będą bezcelowo wysyłać towarów tam i z powrotem bez korzyści."
"GROUP_FACTORY_OPTIONS","Opcje fabryki"
"optionFactoryFirst","Dopasuj prośby z fabryk jako pierwsze"
