"Context","Source/Translation"
"CODE","cs"
"NAME","Czech"
"TMCE_NAM","Správce přenosů"
"tabTransferManager","Správce přenosů"
"tabGeneral","Všeobecné"
"tabWarehouses","Dodávání zboží"
"tabServices","Služby"
"DEBUGPROFILE","Vlastní správce přenosů"
"optionEnableNewTransferManager","Povolit vlastního správce přenosů"
"GROUP_SERVICE_OPTIONS","Nastavení služeb"
"GROUP_SERVICE_DISTRICT_OPTIONS","Možnosti okresů"
"optionPreferLocalService","Preferovat místní služby okresů"
"optionPreferLocalService_txt","Dále zlepšovat lokalitu služeb tím, že splní požadavky na nízkou prioritu pouze s provozními budovami ve stejném okrese (nebo mimo okres). Jakmile se nenaplněné požadavky stanou prioritou, bude jim obsluhována jakákoli nabídka služby v blízkosti. Ovlyvňuje: odpadky, policii, zdravotní péči, údržbu, poštu, taxi."
"txtPreferLocalService","Omezit služby místním okresům tak, že budou odpovídat požadavkům s nízkou prioritou pouze s servisními budovami ve stejné čtvrti. Jakmile se nesplněný požadavek stane vysokou prioritou, bude mu umožněn obsluhovat jakákoli nabídka služeb v blízkosti."
"txtPreferLocalServiceWarning","Upozornění: Toto je volba s velikým vlyvem, před povolením této možnosti se ujistěte, že máte definované okresy pro každou oblast a že máte k dispozici služby v těchto okrese."
"GROUP_WAREHOUSE_OPTIONS","Nastavení skladu"
"optionWarehouseFirst","Nejdříve spojit nabídky skladů"
"optionWarehouseFirst_txt","Tato možnost bude odpovídat příchozím skladům nabízí brzký proces párování, jehož výsledkem bude většina přesunů zboží prostřednictvím skladů."
"optionWarehouseReserveTrucks","Záložní nákladní vozy pro místní přepravu"
"optionWarehouseReserveTrucks_txt","Doporučeno umožnění s možností Sklady na prvním místě: rezervujte procentuální podíl kapacity skladového vozidla pro uspokojení poptávky ve městě, zabraňuje tomu, aby byly všechny nákladní automobily použity pro vývoz."
"txtNewWarehouseReserveTrucks","Tato volba sníží prioritu nabídky ven, pokud je zbývající počet nákladních vozidel nižší než toto procento. To má za následek rezervaci kapacity nákladních vozidel pro uspokojení místní poptávky s vysokou prioritou."
"optionNewWarehouseTransfer","Vylepšený přesun mezi sklady"
"txtNewInterWarehouseMatching","Tato možnost umožňuje přesuny mezi sklady s nižšími prioritami, ale kontroluje úrovně skladu, aby se zajistilo, že sklady nebudou odesílat zboží tam a zpátky, a to bez výhody."
"GROUP_FACTORY_OPTIONS","Možnosti továrny"
"optionFactoryFirst","Nejdříve spojit nabídky továren"
"optionFactoryFirstText","Tato možnost bude odpovídat příchozí továrně nabízí brzký proces párování, aby se zajistilo, že továrny budou propojeny s nejbližší dostupnou nabídkou pro lepší provoz."
"GROUP_EXPORTIMPORT_OPTIONS","Možnosti vnějšího připojení"
"GROUP_EXPERIMENTAL_DEATHCARE","Péče o zesnulé/odpadky"
"optionDeathcareExperimental","Vylepšené přenosy zesnulých"
"optionGarbageExperimental","Vylepšené přenosy odpadků"
"optionPoliceExperimental","Vylepšené policejní přenosy"
"optionImprovedMailTransfers","Vylepšené poštovní přenosy"
"txtDeathcareExperimental","Ve výchozím nastavení rozesílají hřbitovy, skládky odpadů a policejní stanice nabídku na přesun jednoho vozidla najednou. Tato možnost mění nabídku na počet dostupných vozidel, což může vést k lepšímu porovnání.\r\nNyní také zvyšuje prioritu při používání méně než 1/2 vozidel."
"GROUP_TRANSFERISSUE_PANEL","Panel problémů s přenosy"
"keyOpenTransferIssuePanel","Otevřít panel problémů s přenosy"
"optionShowIssuesWithVehiclesOnRoute","Zobrazit problémy s vozidly na trase"
"sliderTransferIssueDeleteResolvedDelay","Odstranit vyřešené zpoždění"
"GROUP_STATISTICS_PANEL","Statistický panel"
"keyOpenStatisticsPanel","Otevřít statistický panel"
"StatisticsPanelEnabled","Povolení statistik"
"btnResetTransferManagerSettings","Obnovit všechna nastavení správce přenosů"
"btnResetPathingStatistics","Resetovat trasování"
"buttonResetTransferStatistics","Obnovit statistiky přenosů"
"tabBuildingPanelSettings","Nastavení"
"GROUP_BUILDINGPANEL_SERVICES","Nastavení služeb"
"GROUP_BUILDINGPANEL_OUTSIDE_CONNECTIONS","Vnější připojení"
"dropdownBuildingPanelImportExport","Dovoz/Vývoz"
"GROUP_BUILDINGPANEL_GOODS_DELIVERY","Nastavení doručování výrobků"
"chkBuildingPanelReserveWarehouseTrucks","Rezervovat nákladní vozy pro místní přepravu"
"tabBuildingPanelStatus","Stav"
"listBuildingPanelStatusColumn1","Material"
"listBuildingPanelStatusColumn2","Value"
"listBuildingPanelStatusColumn3","Responder"
"listBuildingPanelStatusColumn4","Vehicle"
"listBuildingPanelStatusColumn5","Timer"
"tabBuildingPanelTransfers","Transfers"
"labelBuildingPanelOffers","Transfer Offers"
"labelBuildingPanelMatchOffers","Matches"
"listBuildingPanelOffersColumn1","In/Out"
"listBuildingPanelOffersColumn2","Material"
"listBuildingPanelOffersColumn3","Priority"
"listBuildingPanelOffersColumn4","Active"
"listBuildingPanelOffersColumn5","Amount"
"listBuildingPanelOffersColumn6","Description"
"listBuildingPanelMatchesColumn1","Time"
"listBuildingPanelMatchesColumn2","Material"
"listBuildingPanelMatchesColumn3","Active"
"listBuildingPanelMatchesColumn4","Amount"
"listBuildingPanelMatchesColumn5","Δ"
"listBuildingPanelMatchesColumn6","Description"
"titleTransferIssuesPanel","Transfer Issues"
"tabTransferIssuesPathing","Pathing"
"listPathingColumn1","Time"
"listPathingColumn2","Source"
"listPathingColumn3","Target"
"tabTransferIssuesDead","Dead"
"listDeadColumn1","Dead"
"listDeadColumn2","Timer"
"listDeadColumn3","Source"
"listDeadColumn4","Target"
"listDeadColumn5","Vehicle"
"tabTransferIssuesSick","Sick"
"listSickColumn1","Sick"
"listBuildingPanelVehicleTarget","Target"
"dropdownBuildingPanelPreferLocalLabel","District Restrictions"
